TEMP  HUMID  SOLAR  WIND  !WBE  !WBCW  !WBHW 			
g8912	81.9	0.0184	0	7.62	496.07	7.2	0.4
g8913	80.7	0.0187	0	7.94	497.06	7.1	0.5
g8914	79.7	0.0194	0	7.72	496.67	7.1	0.5
g8915	79	0.0197	0.1	6.08	494.54	7.1	0.6
g8916	78.9	0.0199	0.1	5.68	498.09	7	0.6
g8917	78.5	0.0202	0.5	3.87	516.96	7	0.6
g8918	78.7	0.0207	47.5	5.34	589.44	7	0.6
g8919	80.2	0.0209	221	6.19	754.65	7.4	0.6
g89110	83.4	0.0201	436.7	7.43	831.1	7.9	0.6
g89111	86.5	0.0178	576.8	9.93	853.42	7.9	0.5
g89112	88.9	0.0156	723.7	8.37	850.58	8	0.5
g89113	92	0.0133	1025	7.45	834.82	8	0.6
g89114	93.3	0.0122	677.8	6.8	851.32	8	0.5
g89115	94.5	0.0114	721.3	5.2	860.25	7.9	0.4
g89116	96.3	0.0103	768.6	5.77	847.71	7.8	0.4
g89117	97	0.01	587	5.08	800.6	7.6	0.5
g89118	97	0.0098	353.3	5.65	656.4	7.4	0.4
g89119	96.6	0.0098	230.3	6.26	587.7	7.1	0.5
g89120	95.2	0.0104	44.5	6.03	561.9	7.2	0.4
g89121	92.8	0.0113	-0.6	4.31	562.95	7.1	0.5
g89122	90.4	0.0135	-0.5	5.56	536.77	7.2	0.4
g89123	87.8	0.0158	-0.4	4.72	503.08	7.3	0.5
g8920	85.9	0.0173	-0.4	4.35	493.39	7.4	0.5
g8921	84.2	0.0186	-0.1	4.56	487.77	7.3	0.5
g8922	83	0.0192	-0.1	4.08	482.59	7.3	0.6
g8923	81.7	0.0199	0	3.02	478.97	7.3	0.5
g8924	80.7	0.0206	0	5.9	474.69	7.3	0.6
g8925	80.2	0.0212	0.1	6.71	471.53	7.2	0.6
g8926	79.6	0.0216	0.1	7.38	470.95	7.1	0.7
g8927	79	0.0216	0.4	5.32	471.51	7.1	0.7
g8928	79	0.0216	53.6	3.2	461.04	7.1	0.8
g8929	80.2	0.0222	228.8	5.32	469.94	7.2	0.8
g89210	83.5	0.0209	393.3	7.26	491.39	7.3	0.8
g89211	87.1	0.0179	626.6	6.96	511.88	7.4	0.8
g89212	89.9	0.0152	740.8	7.01	519.31	7.4	0.8
g89213	92.5	0.0134	739.3	3.68	515.46	7.3	0.8
g89214	94.6	0.0116	915	3.26	526.49	7.2	0.7
g89215	95.6	0.0106	589.5	2.85	540.53	7.2	0.8
g89216	98.3	0.0097	883.8	2.21	547.41	7.1	0.7
g89217	98.6	0.0095	696.8	5.49	538.3	7.3	0.8
g89218	98.5	0.0097	457.7	6.36	513.8	7.3	0.7
g89219	97.7	0.0092	208.8	7.21	502	7.1	0.7
g89220	96.1	0.01	24.8	4.8	492.44	6.9	0.7
g89221	94.4	0.0105	-0.6	4.24	496.4	6.9	0.8
g89222	91.4	0.0127	-0.5	6.63	501.71	7	0.7
g89223	88.7	0.0159	-0.4	4.27	466.84	7.1	0.8
g8930	86.8	0.0178	-0.2	4.77	455.44	7.2	0.7
g8931	85.3	0.0181	-0.2	4.52	444.61	7.2	0.7
g8932	84.1	0.0185	-0.1	6.96	440.02	7.1	0.7
g8933	83.2	0.0187	-0.1	4	434.33	7.1	0.8
g8934	82.6	0.0188	0	2.06	433.01	7	0.7
g8935	81.7	0.0194	0	9.63	434.19	7.1	0.8
g8936	80.8	0.02	0	10.35	431.85	7	0.7
g8937	80.1	0.0205	0.4	5.05	429.59	7	0.8
g8938	79.7	0.0207	44.3	3.46	415.84	7	0.8
g8939	81.1	0.0207	218.3	5.34	421.17	7	0.9
g89310	84.2	0.0184	435.7	7.72	436.34	7.2	0.9
g89311	88.4	0.0146	639.3	2.66	467.12	7	0.9
g89312	92.4	0.0123	806.7	2.5	482.52	7	0.9
g89313	94.1	0.0107	910.1	2.91	491.05	6.9	0.8
