TEMP	HUMID	SOLAR	WIND	!WBE
81.9	0.0184	0	7.62	496.07
80.7	0.0187	0	7.94	497.06
79.7	0.0194	0	7.72	496.67
79	0.0197	0.1	6.08	494.54
78.9	0.0199	0.1	5.68	498.09
78.5	0.0202	0.5	3.87	516.96
78.7	0.0207	47.5	5.34	589.44
80.2	0.0209	221	6.19	754.65
83.4	0.0201	436.7	7.43	831.1
86.5	0.0178	576.8	9.93	853.42
88.9	0.0156	723.7	8.37	850.58
92	0.0133	1025	7.45	834.82
93.3	0.0122	677.8	6.8	851.32
94.5	0.0114	721.3	5.2	860.25
96.3	0.0103	768.6	5.77	847.71
97	0.01	587	5.08	800.6
97	0.0098	353.3	5.65	656.4
96.6	0.0098	230.3	6.26	587.7
95.2	0.0104	44.5	6.03	561.9
92.8	0.0113	-0.6	4.31	562.95
90.4	0.0135	-0.5	5.56	536.77
87.8	0.0158	-0.4	4.72	503.08
85.9	0.0173	-0.4	4.35	493.39
84.2	0.0186	-0.1	4.56	487.77
83	0.0192	-0.1	4.08	482.59
81.7	0.0199	0	3.02	478.97
80.7	0.0206	0	5.9	474.69
80.2	0.0212	0.1	6.71	471.53
79.6	0.0216	0.1	7.38	470.95
79	0.0216	0.4	5.32	471.51
79	0.0216	53.6	3.2	461.04
80.2	0.0222	228.8	5.32	469.94
83.5	0.0209	393.3	7.26	491.39
87.1	0.0179	626.6	6.96	511.88
89.9	0.0152	740.8	7.01	519.31
92.5	0.0134	739.3	3.68	515.46
94.6	0.0116	915	3.26	526.49
95.6	0.0106	589.5	2.85	540.53
98.3	0.0097	883.8	2.21	547.41
98.6	0.0095	696.8	5.49	538.3
98.5	0.0097	457.7	6.36	513.8
97.7	0.0092	208.8	7.21	502
96.1	0.01	24.8	4.8	492.44
94.4	0.0105	-0.6	4.24	496.4
91.4	0.0127	-0.5	6.63	501.71
88.7	0.0159	-0.4	4.27	466.84
86.8	0.0178	-0.2	4.77	455.44
85.3	0.0181	-0.2	4.52	444.61
84.1	0.0185	-0.1	6.96	440.02
83.2	0.0187	-0.1	4	434.33
82.6	0.0188	0	2.06	433.01
81.7	0.0194	0	9.63	434.19
80.8	0.02	0	10.35	431.85
80.1	0.0205	0.4	5.05	429.59
79.7	0.0207	44.3	3.46	415.84
81.1	0.0207	218.3	5.34	421.17
84.2	0.0184	435.7	7.72	436.34
88.4	0.0146	639.3	2.66	467.12
92.4	0.0123	806.7	2.5	482.52
94.1	0.0107	910.1	2.91	491.05
96.6	0.0092	958.9	3.24	491.62
98	0.0081	966.7	5.12	500.11
98.8	0.0078	799.8	5.75	507.97
99.5	0.0061	613.4	4.83	514.59
99.2	0.0075	327.9	7.4	507.77
97.5	0.0093	178.5	9.74	494.57
95.3	0.0106	33.6	7.84	498.35
92.5	0.0116	-0.5	4.25	524.62
90.6	0.0125	-0.4	5.37	525.51
88	0.0141	-0.2	5.08	519.1
86.5	0.0148	-0.2	5.2	501.09
85.9	0.0154	-0.1	3.99	493.37
84.7	0.0158	0	2.48	501.47
83.5	0.0158	0	2.29	500.06
82.8	0.0162	0	0.44	494.96
83.3	0.0164	0.1	0.08	490.12
82.7	0.0167	0.1	0.8	490.77
80.7	0.0173	0.4	1	520.75
79.7	0.0176	38	2.29	612.49
80.7	0.0178	171.4	4.84	776.97
83.6	0.0176	384	4.39	843.9
87.3	0.0161	586.5	4.19	841.37
90.4	0.0155	599.7	2.31	829.03
92.6	0.0144	800.8	1.95	849.54
95.2	0.0118	839.9	4.5	861.11
96.2	0.0108	783.2	6.25	890.56
97.5	0.01	750.5	7.13	883.4
96	0.0105	257.6	9	857.26
96.1	0.0099	317.1	8.13	726.82
96.8	0.0089	219.5	9.84	653.52
94.5	0.0105	30.9	7.19	631.13
92	0.0115	-0.6	5.71	642.65
89.8	0.0118	-0.5	5.48	633.52
87.9	0.0116	-0.4	5.08	597
86.2	0.0112	-0.2	5.4	552.1
84.9	0.0117	-0.1	3.53	525.61
82.9	0.0124	0	2.5	510.5
82.5	0.012	0.1	0	504.13
82	0.0122	0.3	2.24	500.03
81.4	0.0127	0.3	0.55	493.68
79.6	0.0131	0.3	1.05	494.62
76.9	0.0128	0.6	2.21	521.69
76.6	0.0126	38.2	2.38	604.53
77.8	0.0126	199	4.09	783.08
82	0.0123	418.7	3.38	838.01
86.4	0.0132	625.6	3.87	879.42
89.6	0.0111	794.9	4.86	883.26
92.1	0.0096	892.6	6.31	866.46
94	0.0091	942.3	8.45	873.31
95.3	0.0077	897.4	10.96	884.11
96.6	0.0063	795.9	10.27	876.49
