CLASS_A	CLASS_B	CLASS_C	CLASS_D	CLASS_E	CLASS_F	CLASS_H	SPOT_X	SPOT_R	SPOT_S	SPOT_A	SPOT_H	SPOT_K	DIST_X	DIST_O	DIST_I	DIST_C	ACT	EVO	PREV_ACT	HIST	PASS	AREA	AREA_L	!M_CLASS	
0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	
0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.5	0	0	1	0	0	0	
0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	
0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0.5	0	1	1	0	0	0	
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0.5	0	0	1	0	0	0	
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0.5	0	1	1	0	0	0	
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.5	0	0	1	0	0	0	
0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.5	0	1	1	0	0	0	
0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0.5	1	1	0	0	0	
0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0.5	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.5	0	0	1	0	0	0	
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0.5	0	1	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.5	0	0	1	0	0	0	
