i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	!o0	!o1
-1.88669	-0.41341	0.25264	0.38014	-1.02491	-0.52083	-1.35176	-0.47762	-1.27444	-0.4151	2.26231	10.67288	3.81382	6.92792	0.75368	19.58044	18.93442	30.08555	2.71713	2.66635	-1.66189	-0.02121	0.76864	0.61685	-0.75459	-0.42309	-1.11912	-0.34476	-0.24945	-0.0618	-0.49606	-0.22489	0.72375	1.78074	1.19381	1.14164	-0.26601	1.76776	-1.01398	-0.37312	-1.00391	0.3363	1.00262	1.84746	-0.69012	-0.38898	1.41095	-0.08083	0.9292	-0.00523	0	1
0.79298	-0.05492	-1.70926	-0.8684	-0.11376	-1.56052	-0.89776	0.39855	-0.72375	0.80982	4.74894	10.41374	1.79118	3.88765	0.51632	18.06375	1.42737	21.24775	3.74065	3.40322	1.34767	0.82866	-1.33728	-0.79693	0.37549	-0.81022	-0.19768	0.64519	-0.41732	0.85026	1.4799	0.73442	-0.17185	0.4371	0.83104	-1.35587	3.16318	0.9956	-0.51565	1.75985	0.95465	1.92504	0.42205	0.04408	0.04012	0.93736	-0.62129	1.37191	-0.26389	2.22579	0	1
0.83615	0.50341	-1.13316	1.95461	-1.67544	-0.58404	1.0359	-0.85506	-0.01633	-0.23174	18.86367	13.07265	19.68003	11.72715	13.58291	2.23584	12.81394	6.0278	21.26242	8.8564	1.24215	0.80174	-0.20779	2.93613	-1.22558	0.29904	1.37801	-0.5636	0.46935	0.848	1.06275	2.3115	0.49515	2.41884	-1.17979	-0.42249	1.15625	-0.57114	0.17086	-0.17739	0.8945	2.57851	-0.4155	2.1477	-0.86088	-0.31828	1.46589	-0.45555	3.0582	2.16526	0	1
0.05971	0.2566	0.4566	-0.02466	-0.55026	3.1532	-0.22346	0.00296	1.34868	1.24302	22.72116	11.10361	31.93459	7.71826	11.69415	19.6355	4.95333	20.33904	4.25554	8.44532	0.20971	3.55901	0.63782	0.25156	0.63677	3.20997	1.4652	0.5624	1.41197	1.30921	0.47175	2.11457	0.54376	0.21359	1.00196	3.30712	-0.16536	1.03369	2.05221	2.18084	0.70828	1.06994	0.97348	0.64797	0.54014	5.52094	1.22364	0.01508	1.30929	1.56022	0	1
1.55678	0.83222	0.41512	-0.57455	-0.68639	-1.88684	-0.97834	0.22258	0.14262	0.94411	1.54128	25.36123	18.61703	9.38532	25.69981	1.8243	0.82665	1.77995	22.78902	0.606	1.73286	1.66211	0.7473	1.64407	1.2102	-1.60562	0.67619	1.25223	0.14925	1.98023	1.72707	1.29021	3.13024	-0.52589	-0.52183	-1.25228	-0.71909	0.96481	1.17319	2.17385	1.64847	1.78247	0.89667	-0.45341	-0.00958	-1.14709	-0.85021	0.49237	0.61268	1.01634	0	1
-0.46807	0.85342	0.10063	0.07839	1.03039	1.02971	-1.26311	-1.388	1.32033	-0.92402	11.39463	5.57768	1.85674	2.15015	2.31528	1.12396	7.70531	18.58368	6.1725	12.43633	1.63774	1.27884	0.63828	0.65438	1.32939	1.08992	0.23441	-0.33133	4.9937	0.15715	1.37205	1.62468	1.48445	0.3029	1.2644	1.42425	-0.86252	0.86399	3.05923	-0.26771	0.00666	1.55111	0.25604	1.25991	1.46975	1.38705	-1.05955	-0.46846	1.29339	-0.81741	0	1
-0.14479	-0.25529	2.12884	0.12251	-1.17071	-1.04222	-0.48831	-1.28104	-0.37669	-0.76517	10.5475	6.58574	5.21574	8.20472	12.61493	35.47635	4.79936	1.34769	3.59165	0.36477	0.41692	0.25032	2.22136	0.79613	-0.99235	-0.8393	-0.13134	-0.87766	-0.11893	0.09324	0.18882	-0.23195	4.41774	1.75322	-0.34044	-0.51696	-0.43185	-0.86416	0.44293	-0.20665	1.51266	0.01036	2.48034	1.52144	-0.95276	-0.56003	0.14035	-1.11547	-0.30124	-0.43062	0	1
1.14732	0.75838	1.0428	0.01299	-1.26143	-0.73662	0.70251	0.52778	-0.0459	0.19651	6.14552	17.32135	0.98679	4.44846	12.90935	39.88141	0.98376	10.56579	16.55522	7.6618	2.73919	0.90276	1.22576	0.51204	-1.01332	0.74772	0.69772	0.58781	0.14582	0.56477	2.3001	0.78867	3.13081	1.40134	-0.84147	0.32421	1.53203	0.58199	0.99548	1.82277	1.14434	1.44349	1.29845	0.37437	-0.54528	-0.09066	0.76895	1.04843	3.72313	1.21103	0	1
0.44065	0.31575	0.73571	0.40093	-0.65016	-1.48459	0.01548	0.67331	0.51018	0.81254	15.90535	4.42445	13.79349	1.40587	35.23244	8.76398	5.04686	1.19556	9.32196	4.38079	0.82835	0.8283	0.85948	3.149	1.59485	0.43077	0.19625	1.16324	0.95136	1.36833	0.43143	0.87095	0.90412	1.43031	-0.5478	-0.41064	2.27284	1.51039	1.73176	0.75517	1.32087	0.84071	0.99881	1.09913	-0.38871	-0.91484	0.28582	1.71101	1.60541	0.83457	0	1
0.50292	-0.03881	0.04935	-0.74512	1.06448	0.74774	-0.24395	-0.78897	0.09396	0.85845	1.58284	0.88517	4.49023	3.32395	19.72624	21.34583	0.64258	14.94356	4.24417	4.10898	0.53831	0.04721	0.32078	-0.13316	2.59848	0.85045	1.10816	-0.56614	0.57919	1.34015	1.55322	1.90335	1.26049	0.1772	1.03772	4.65045	0.25686	-0.22102	0.43199	1.42402	1.60408	0.57783	0.78464	1.18682	1.65885	2.49788	0.30565	-0.505	0.47701	1.64165	0	1
-1.72508	-0.23678	0.64104	0.23105	2.43692	-0.08602	0.76875	-0.67656	1.58303	1.07159	14.26351	8.18434	35.91094	1.71957	19.64751	24.83495	5.50103	8.73821	10.16753	0.91533	-1.32416	0.18258	1.17486	3.38113	3.98747	0.37848	1.46075	-0.27622	3.05258	1.3817	-1.5539	0.67016	1.24449	4.57709	2.43189	1.44926	1.12223	-0.5911	2.42063	1.67269	-0.58682	-0.09368	0.60517	0.24106	3.12986	1.59358	1.06418	2.2969	1.52348	1.1095	0	1
