i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	!ho	!h1
0.02057	0.34626	0.44846	0.30907	0.44985	0.31529	0.39721	0.1993	0.23263	0.26105	0.69611	0.50382	0.53587	0.97099	0.23132	0.41315	0.7277	0.41925	0.27495	0.23385	0.23236	0.55652	0.49172	0.40921	0.48998	0.52609	0.40172	0.429	0.34077	0.2497	0.37551	0.44559	0.26927	0.39463	0.47827	0.43811	0.53498	0.50345	0.58174	0.49142	0.24904	0.36314	0.36211	0.56255	0.39133	0.47721	0.5752	0.41741	0.26303	0.54966	0	1
0.47765	0.02656	0.03739	0.00159	0.33	0.25986	0.47755	0.43161	0.01676	0.37372	0.79421	0.05407	0.88941	0.1054	0.423	0.187	0.36531	0.10998	0.76977	0.76839	0.25545	0.4257	0.39981	0.30083	0.4716	0.26941	0.44437	0.25349	0.27601	0.41061	0.44956	0.40199	0.35445	0.33369	0.28193	0.41067	0.50411	0.28732	0.51219	0.5073	0.39162	0.3838	0.31708	0.4797	0.48838	0.32082	0.4527	0.48742	0.29282	0.29399	0	1
0.18562	0.30052	0.36375	0.08962	0.04839	0.23214	0.29966	0.40612	0.34693	0.4053	0.847	0.8198	0.53402	0.76895	0.09171	0.29601	0.51362	0.83125	0.87304	0.55904	0.35486	0.23278	0.29135	0.34439	0.06999	0.10653	0.36118	0.36892	0.34467	0.38323	0.40791	0.36523	0.30092	0.29851	0.08577	0.20162	0.17491	0.06836	0.21289	0.1027	0.34841	0.4188	0.08823	0.23583	0.19138	0.40047	0.2117	0.07435	0.17198	0.20181	0	1
0.44856	0.47816	0.01085	0.13762	0.17523	0.36457	0.39717	0.49054	0.04514	0.39713	0.8467	0.80214	0.54101	0.60618	0.62433	0.88576	0.36514	0.26734	0.70358	0.41901	0.39954	0.25152	0.30786	0.49707	0.16355	0.36239	0.40373	0.48437	0.32827	0.28821	0.43682	0.35183	0.50852	0.37013	0.40186	0.43896	0.28826	0.16536	0.23331	0.36953	0.41503	0.42675	0.18042	0.2055	0.27936	0.35663	0.16074	0.32487	0.35402	0.26211	0	1
0.05098	0.19276	0.10531	0.06357	0.40382	0.36365	0.21714	0.3227	0.14762	0.11264	0.98463	0.92898	0.88172	0.06312	0.87713	0.25361	0.86157	0.55664	0.67836	0.19271	0.27114	0.50295	0.41102	0.31426	0.39942	0.44843	0.3015	0.4515	0.50873	0.4171	0.3209	0.30938	0.38088	0.39655	0.54714	0.33326	0.56372	0.37457	0.32567	0.45422	0.53825	0.51745	0.36244	0.46866	0.36296	0.5336	0.53048	0.37265	0.51244	0.53094	0	1
0.28917	0.35867	0.42618	0.46842	0.13613	0.44438	0.03632	0.18564	0.24633	0.34453	0.71524	0.86102	0.11561	0.90128	0.4209	0.86635	0.85432	0.62315	0.80523	0.54042	0.32934	0.30523	0.5984	0.58847	0.36265	0.34319	0.47	0.372	0.52269	0.5161	0.371	0.46363	0.4561	0.26953	0.28728	0.5921	0.24649	0.24997	0.24302	0.18073	0.48339	0.54282	0.37721	0.1963	0.34948	0.53541	0.12785	0.23742	0.48377	0.10006	0	1
0.01434	0.36062	0.03648	0.43088	0.18778	0.42446	0.3045	0.49052	0.21308	0.32962	0.09333	0.2059	0.75306	0.88115	0.1926	0.00993	0.44397	0.19313	0.40575	0.9956	0.53106	0.20361	0.5584	0.41218	0.40404	0.3947	0.43367	0.55588	0.49223	0.51023	0.34241	0.50956	0.43665	0.18702	0.4003	0.40892	0.18487	0.32953	0.40612	0.26789	0.36709	0.51602	0.38398	0.15368	0.30829	0.44195	0.22782	0.25798	0.35935	0.32884	0	1
0.35817	0.34299	0.00994	0.41022	0.21377	0.48588	0.06903	0.46729	0.1088	0.13947	0.43315	0.49952	0.70938	0.42322	0.37989	0.82515	0.00888	0.26458	0.5208	0.00932	0.54341	0.43126	0.38939	0.54079	0.39945	0.35053	0.41399	0.3929	0.60542	0.40713	0.39569	0.48176	0.55879	0.39825	0.28028	0.52368	0.17696	0.1549	0.34301	0.2071	0.447	0.56244	0.31549	0.27686	0.23761	0.48069	0.16022	0.39946	0.48194	0.34295	0	1
0.42664	0.49915	0.15871	0.42494	0.18421	0.06523	0.32011	0.01561	0.32203	0.39163	0.19391	0.02192	0.38096	0.9919	0.69801	0.25507	0.02267	0.34578	0.38238	0.9219	0.06081	0.27828	0.31335	0.0853	0.26644	0.30603	0.27905	0.09187	0.13964	0.0638	0.12247	0.06517	0.10456	0.15063	0.13865	0.23455	0.38543	0.19745	0.21302	0.23954	0.31468	0.15332	0.29647	0.40242	0.37622	0.23903	0.21876	0.14439	0.25668	0.36101	0	1
0.0399	0.29513	0.15638	0.28751	0.46089	0.46541	0.27346	0.26811	0.42596	0.38287	0.92119	0.80944	0.20001	0.0497	0.76556	0.13578	0.86334	0.90232	0.44837	0.61827	0.55678	0.51664	0.52099	0.40474	0.6038	0.35714	0.58026	0.58325	0.52947	0.45138	0.48667	0.40185	0.57337	0.46568	0.4292	0.60344	0.60461	0.41003	0.47181	0.36911	0.46007	0.4458	0.45253	0.41899	0.39843	0.47445	0.34589	0.38546	0.52998	0.44286	0	1
