count	valid	test	!real
3	0.777777778	0.829457364	0.859614158
3	0.748148148	0.837209302	0.848305394
3	0.8	0.80620155	0.859967201
1	0.733333333	0.837209302	0.851403061
1	0.733333333	0.837209302	0.881696429
1	0.777777778	0.813953488	0.852519133
3	0.755555556	0.821705426	0.858737245
3	0.748148148	0.821705426	0.848214286
1	0.711111111	0.837209302	0.851403061
3	0.740740741	0.821705426	0.867506378
1	0.755555556	0.813953488	0.881855867
1	0.755555556	0.813953488	0.86973852
1	0.755555556	0.813953488	0.836734694
3	0.748148148	0.813953488	0.85411352
3	0.748148148	0.813953488	0.865274235
1	0.733333333	0.813953488	0.850127551
1	0.733333333	0.813953488	0.866390306
3	0.762962963	0.798449612	0.86463648
3	0.762962963	0.798449612	0.863042092
1	0.777777778	0.790697674	0.860012755
1	0.777777778	0.790697674	0.856026786
3	0.755555556	0.798449612	0.860969388
2	0.733333333	0.802325581	0.850765306
3	0.785185185	0.775193798	0.869579082
3	0.733333333	0.798449612	0.854432398
3	0.740740741	0.790697674	0.848373724
1	0.688888889	0.813953488	0.860172194
2	0.733333333	0.790697674	0.860969388
3	0.733333333	0.790697674	0.833864796
1	0.733333333	0.790697674	0.871970663
1	0.733333333	0.790697674	0.838329082
3	0.748148148	0.782945736	0.849330357
3	0.696296296	0.80620155	0.831792092
3	0.725925926	0.790697674	0.850446429
2	0.744444444	0.779069767	0.858896684
3	0.725925926	0.775193798	0.853156888
3	0.740740741	0.76744186	0.841517857
1	0.688888889	0.790697674	0.82684949
1	0.733333333	0.76744186	0.860172194
1	0.733333333	0.76744186	0.838169643
1	0.733333333	0.76744186	0.85283801
1	0.711111111	0.76744186	0.864317602
1	0.711111111	0.76744186	0.841358418
1	0.755555556	0.744186047	0.840242347
1	0.688888889	0.76744186	0.852678571
1	0.711111111	0.744186047	0.856983418
1	0.755555556	0.720930233	0.864477041
3	0.725925926	0.728682171	0.823979592
1	0.688888889	0.744186047	0.655452806
1	0.688888889	0.744186047	0.826690051
1	0.733333333	0.720930233	0.819674745
1	0.555555556	0.790697674	0.649553571
1	0.6	0.76744186	0.62372449
1	0.688888889	0.720930233	0.818399235
1	0.6	0.744186047	0.69403699
1	0.622222222	0.720930233	0.69403699
1	0.666666667	0.697674419	0.778061224
1	0.688888889	0.674418605	0.73565051
1	0.622222222	0.697674419	0.813616071
1	0.622222222	0.697674419	0.780452806
1	0.622222222	0.697674419	0.67059949
1	0.711111111	0.651162791	0.814891582
1	0.711111111	0.651162791	0.814891582
1	0.644444444	0.674418605	0.665975765
3	0.644444444	0.674418605	0.665975765
1	0.688888889	0.651162791	0.66932398
1	0.688888889	0.651162791	0.790975765
2	0.544444444	0.709302326	0.632971939
1	0.6	0.674418605	0.528380102
