input0	input1	input2	input3	input4	input5	input6	input7	input8	rndInput0	rndInput1	!output0	!output1	!output2	!output3	!output4	!output5	!output6
1.51793	12.79	3.5	1.12	73.03	0.64	8.77	0.0	0.0	0.9042359588810863	0.9099833552539783	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51643	12.16	3.52	1.35	72.89	0.57	8.53	0.0	0.0	0.1669683896286558	0.4260032202741564	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51793	13.21	3.48	1.41	72.64	0.59	8.43	0.0	0.0	0.7813678948219693	0.5776022596454153	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51299	14.4	1.74	1.54	74.55	0.0	7.59	0.0	0.0	0.3373977943937537	0.2809548583901206	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.53393	12.3	0.0	1.0	70.16	0.12	16.19	0.0	0.24	0.739352754765865	0.871144630711651	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51655	12.75	2.85	1.44	73.27	0.57	8.79	0.11	0.22	0.947126642576348	0.3526370057901972	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51779	13.64	3.65	0.65	73.0	0.06	8.93	0.0	0.0	0.49148793164049365	0.22336807191333885	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51837	13.14	2.84	1.28	72.85	0.55	9.07	0.0	0.0	0.2704943050424463	0.8787366210517003	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51545	14.14	0.0	2.68	73.39	0.08	9.07	0.61	0.05	0.881527227708208	0.28629920068079384	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51789	13.19	3.9	1.3	72.33	0.55	8.44	0.0	0.28	0.9708171298185228	0.6170892529412583	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51625	13.36	3.58	1.49	72.72	0.45	8.21	0.0	0.0	0.07980127542186166	0.7793116895513432	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51743	12.2	3.25	1.16	73.55	0.62	8.9	0.0	0.24	0.9158711567408948	0.2944310184940032	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52223	13.21	3.77	0.79	71.99	0.13	10.02	0.0	0.0	0.1953162097037332	0.9197247184834373	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52121	14.03	3.76	0.58	71.79	0.11	9.65	0.0	0.0	0.4104669260654331	0.6061926035463748	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51665	13.14	3.45	1.76	72.48	0.6	8.38	0.0	0.17	0.4137245920182926	0.3028959972608254	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51707	13.48	3.48	1.71	72.52	0.62	7.99	0.0	0.0	0.3314990750960516	0.31057790990712564	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51719	14.75	0.0	2.0	73.02	0.0	8.53	1.59	0.08	0.4048515236866391	0.14663428540395895	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51629	12.71	3.33	1.49	73.28	0.67	8.24	0.0	0.0	0.1752660289282698	0.523647965154778	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51994	13.27	0.0	1.76	73.03	0.47	11.32	0.0	0.0	0.40849760550366243	0.14385905243946717	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51811	12.96	2.96	1.43	72.92	0.6	8.79	0.14	0.0	0.08252083128885768	0.6668562017866771	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52152	13.05	3.65	0.87	72.22	0.19	9.85	0.0	0.17	0.10353015456591652	0.7777852326030212	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52475	11.45	0.0	1.88	72.19	0.81	13.24	0.0	0.34	0.4936267706964549	0.644458285033068	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51841	12.93	3.74	1.11	72.28	0.64	8.96	0.0	0.22	0.09281218018868298	0.8455135991295951	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51754	13.39	3.66	1.19	72.79	0.57	8.27	0.0	0.11	0.2043563597937792	0.7354464157406664	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52058	12.85	1.61	2.17	72.18	0.76	9.7	0.24	0.51	0.5953086698668948	0.10875840382891011	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51569	13.24	3.49	1.47	73.25	0.38	8.03	0.0	0.0	0.24228630736690882	0.37313394968452385	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5159	12.82	3.52	1.9	72.86	0.69	7.97	0.0	0.0	0.7267483161494275	0.4445451324723313	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51683	14.56	0.0	1.98	73.29	0.0	8.52	1.57	0.07	0.16440420445721482	0.4552433585483131	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51687	13.23	3.54	1.48	72.84	0.56	8.1	0.0	0.0	0.5715075800786316	0.6040639610432831	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5161	13.33	3.53	1.34	72.67	0.56	8.33	0.0	0.0	0.08845852788292685	0.07832680524964619	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51674	12.87	3.56	1.64	73.14	0.65	7.99	0.0	0.0	0.1009238454677086	0.7044645301966092	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51832	13.33	3.34	1.54	72.14	0.56	8.99	0.0	0.0	0.013745347182411938	0.6225751987785358	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51115	17.38	0.0	0.34	75.41	0.0	6.65	0.0	0.0	0.8770325693293257	0.8762302752454276	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.51645	13.44	3.61	1.54	72.39	0.66	8.03	0.0	0.0	0.7614414173412042	0.9265483673508472	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51755	13.0	3.6	1.36	72.99	0.57	8.4	0.0	0.11	0.39576341311304164	0.0678720760601198	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51571	12.72	3.46	1.56	73.2	0.67	8.09	0.0	0.24	0.1702557007112342	0.8860850642860547	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51596	12.79	3.61	1.62	72.97	0.64	8.07	0.0	0.26	0.8699181747315538	0.8700317383475208	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5173	12.35	2.72	1.63	72.87	0.7	9.23	0.0	0.0	0.020086284179868685	0.18762883575077616	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51662	12.85	3.51	1.44	73.01	0.68	8.23	0.06	0.25	0.22979364142340863	0.36268846708816793	0.0	1.0	0.0	0.0	0.0	0.0	0.0
