i0	i1	r1	r2	r3	r4	r5	!o0	!o1	!o2	!o3	!o4	!o5	!o6	!o7	!o8	!o9	!o10	!o11	!o12	!o13	!o14	!o15	!o16	!o17	!o18	!o19	!o20	!o21
0	0	0.971446122	0.69281543	0.060042517	0.80507908	0.835349236	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.020408163	0.093832258	0.94899158	0.366143081	0.317644415	0.155749773	0.567906712	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.040816327	0.187664517	0.747599142	0.963180645	0.56982263	0.151407756	0.466659996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06122449	0.281496775	0.125197383	0.021600442	0.066206279	0.023091066	0.587579064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.081632653	0.375329033	0.997731764	0.193861769	0.338034646	0.024769168	0.15193485	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102040816	0.469161291	0.139292142	0.371894047	0.625355628	0.450489843	0.498848952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.12244898	0.56299355	0.546605088	0.551959724	0.726802393	0.044575766	0.10849327	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.142857143	0.656825808	0.513257446	0.463933688	0.363333237	0.037811366	0.983470944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.163265306	0.750658066	0.498425205	0.006360448	0.783248872	0.580101368	0.221170725	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.183673469	0.844490324	0.990271931	0.279721993	0.942494785	0.461668475	0.636167219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.204081633	0.938322583	0.923440519	0.847908111	0.688314877	0.049589824	0.854700058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.224489796	1.032154841	0.228793241	0.525090533	0.487974599	0.659078917	0.099198733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.244897959	1.125987099	0.357996665	0.865852039	0.1753659	0.739750573	0.496637217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.265306122	1.219819357	0.454638062	0.904924786	0.250323069	0.412140036	0.907745022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.285714286	1.313651616	0.212832823	0.964289347	0.537514738	0.93058338	0.102932322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.306122449	1.407483874	0.170476856	0.325338979	0.588564548	0.482432697	0.363994431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.326530612	1.501316132	0.535847945	0.69861451	0.452938263	0.533326713	0.91766099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.346938776	1.59514839	0.621072046	0.050174518	0.226098408	0.382343376	0.797885396	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.367346939	1.688980649	0.674140617	0.939525581	0.749068289	0.153425205	0.969094621	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.387755102	1.782812907	0.416540046	0.957360456	0.639093174	0.590219527	0.643728463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.408163265	1.876645165	0.41430983	0.630926323	0.399388433	0.475763911	0.406203131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.428571429	1.970477423	0.814952247	0.690088696	0.125499893	0.51725015	0.864477917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.448979592	2.064309682	0.103897259	0.39810252	0.500670297	0.136017819	0.332846681	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.469387755	2.15814194	0.340366707	0.678419908	0.572537661	0.816190025	0.389210863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.489795918	2.251974198	0.040180046	0.583839561	0.713833352	0.789817408	0.821327917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.510204082	2.345806456	0.984195181	0.718850973	0.191480303	0.685522477	0.394410523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.530612245	2.439638715	0.29064032	0.142687613	0.668215539	0.920532061	0.342639815	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.551020408	2.533470973	0.418568372	0.042538526	0.520800411	0.667382248	0.455940184	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.571428571	2.627303231	0.833318155	0.707369862	0.12689195	0.03682478	0.9376583	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.591836735	2.721135489	0.792609796	0.577287152	0.81220319	0.063536542	0.826132103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.612244898	2.814967748	0.991500925	0.056368028	0.289781399	0.302733877	0.071693203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.632653061	2.908800006	0.529424612	0.414074901	0.508809072	0.500949068	0.349206347	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.653061224	3.002632264	0.118041388	0.158008915	0.471631912	0.315887407	0.264224604	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.673469388	3.096464523	0.476947506	0.325803155	0.900720597	0.366927937	0.818272084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.693877551	3.190296781	0.157878787	0.94391433	0.533577671	0.703559701	0.266316408	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.714285714	3.284129039	0.063984813	0.554121265	0.200436013	0.803585717	0.898453795	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.734693878	3.377961297	0.39654091	0.97346603	0.869811722	0.441628758	0.770112358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.755102041	3.471793556	0.188869713	0.979591182	0.219047904	0.702315402	0.093223761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.775510204	3.565625814	0.466629501	0.190976466	0.455020038	0.318096646	0.377984232	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.795918367	3.659458072	0.227791113	0.221120951	0.54389259	0.671213689	0.614811097	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.816326531	3.75329033	0.62826531	0.048544921	0.443574465	0.760685472	0.833315831	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.836734694	3.847122589	0.23934407	0.172509941	0.619291703	0.261858867	0.434596829	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.857142857	3.940954847	0.82354279	0.37011799	0.078083203	0.327123546	0.320570394	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.87755102	4.034787105	0.498097116	0.977113162	0.414254752	0.836577194	0.235693383	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.897959184	4.128619363	0.905194206	0.466062062	0.212749472	0.517087688	0.979203358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.918367347	4.222451622	0.390519427	0.466045579	0.424487262	0.333308522	0.467446161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.93877551	4.31628388	0.397492069	0.172595	0.586090159	0.206369547	0.644146083	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.959183673	4.410116138	0.319620522	0.641011617	0.600776352	0.842408458	0.210383734	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.979591837	4.503948396	0.820151895	0.68671271	0.087918177	0.926684733	0.225000691	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.597780655	0.098918552	0.869759467	0.421801678	0.348200425	0.100182421	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.916486587	0.294785897	0.65709364	0.418646012	0.066749703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
