a0	a3	!t0	!t1	!t2
113	225	1	0	0
125	96	1	0	0
116	137	1	0	0
125	7	1	0	0
81	195	1	0	0
115	231	1	0	0
104	193	1	0	0
89	241	1	0	0
87	28	1	0	0
85	241	1	0	0
105	0	1	0	0
74	225	1	0	0
114	195	1	0	0
94	129	1	0	0
80	255	1	0	0
112	195	1	0	0
117	0	1	0	0
117	27	1	0	0
106	129	1	0	0
109	18	1	0	0
105	225	1	0	0
107	221	1	0	0
88	3	1	0	0
103	227	1	0	0
92	8	1	0	0
119	60	1	0	0
100	247	1	0	0
115	131	1	0	0
43	124	1	0	0
128	79	1	0	0
122	124	1	0	0
120	224	1	0	0
94	0	1	0	0
86	252	1	0	0
89	195	1	0	0
117	56	1	0	0
92	193	1	0	0
122	255	1	0	0
93	255	1	0	0
118	249	1	0	0
113	0	1	0	0
121	48	1	0	0
122	147	1	0	0
108	195	1	0	0
93	0	1	0	0
107	193	1	0	0
115	2	1	0	0
84	112	1	0	0
106	195	1	0	0
123	32	1	0	0
124	198	1	0	0
21	62	1	0	0
88	2	1	0	0
99	252	1	0	0
118	0	1	0	0
118	124	1	0	0
113	56	1	0	0
121	143	1	0	0
113	126	1	0	0
88	199	1	0	0
101	8	1	0	0
105	135	1	0	0
91	195	1	0	0
91	131	1	0	0
110	7	1	0	0
122	127	1	0	0
99	193	1	0	0
123	225	1	0	0
120	12	1	0	0
123	6	1	0	0
95	225	1	0	0
118	30	1	0	0
119	6	1	0	0
119	112	1	0	0
4	248	1	0	0
100	197	1	0	0
123	55	1	0	0
118	38	1	0	0
120	4	1	0	0
92	193	1	0	0
102	193	1	0	0
114	30	1	0	0
120	176	1	0	0
88	195	1	0	0
69	63	1	0	0
96	31	1	0	0
106	195	1	0	0
27	159	1	0	0
106	131	1	0	0
99	131	1	0	0
113	124	1	0	0
114	0	1	0	0
121	56	1	0	0
115	28	1	0	0
61	28	1	0	0
119	0	1	0	0
19	31	1	0	0
120	124	1	0	0
124	19	1	0	0
112	252	1	0	0
100	56	1	0	0
103	241	1	0	0
117	223	1	0	0
108	159	1	0	0
124	145	1	0	0
117	32	1	0	0
108	125	1	0	0
94	7	1	0	0
128	129	1	0	0
69	227	1	0	0
34	185	1	0	0
95	193	1	0	0
117	78	1	0	0
116	56	1	0	0
119	63	1	0	0
104	24	1	0	0
88	131	1	0	0
99	135	1	0	0
125	193	1	0	0
114	3	1	0	0
115	0	1	0	0
87	120	1	0	0
19	143	1	0	0
114	96	1	0	0
121	249	1	0	0
116	223	1	0	0
119	8	1	0	0
91	195	1	0	0
85	161	1	0	0
114	240	1	0	0
102	15	1	0	0
111	30	1	0	0
96	253	1	0	0
114	54	1	0	0
114	2	1	0	0
102	2	1	0	0
109	195	1	0	0
113	56	1	0	0
103	195	1	0	0
114	6	1	0	0
127	255	1	0	0
113	243	1	0	0
104	7	1	0	0
95	1	1	0	0
111	131	1	0	0
19	15	1	0	0
84	224	1	0	0
101	249	1	0	0
116	35	1	0	0
52	195	1	0	0
87	195	1	0	0
108	2	1	0	0
121	131	1	0	0
116	124	1	0	0
118	30	1	0	0
86	124	1	0	0
104	241	1	0	0
101	126	1	0	0
87	249	1	0	0
120	32	1	0	0
99	0	1	0	0
85	71	1	0	0
118	15	1	0	0
116	6	1	0	0
115	243	1	0	0
112	60	1	0	0
115	248	1	0	0
86	56	1	0	0
100	2	1	0	0
113	223	1	0	0
101	195	1	0	0
116	96	1	0	0
111	249	1	0	0
123	8	1	0	0
98	195	1	0	0
111	227	1	0	0
112	0	1	0	0
120	44	1	0	0
114	28	1	0	0
78	195	1	0	0
121	197	1	0	0
105	227	1	0	0
123	135	1	0	0
82	227	1	0	0
100	48	1	0	0
123	24	1	0	0
114	96	1	0	0
94	195	1	0	0
125	28	1	0	0
130	193	1	0	0
97	128	1	0	0
36	199	1	0	0
124	135	1	0	0
117	2	1	0	0
119	0	1	0	0
98	112	1	0	0
115	253	1	0	0
97	195	1	0	0
102	2	1	0	0
111	15	1	0	0
105	225	1	0	0
93	224	1	0	0
122	108	1	0	0
72	195	1	0	0
86	195	1	0	0
109	129	1	0	0
69	241	1	0	0
85	60	1	0	0
116	120	1	0	0
112	243	1	0	0
112	12	1	0	0
127	12	1	0	0
126	128	1	0	0
117	96	1	0	0
97	240	1	0	0
95	3	1	0	0
120	131	1	0	0
100	96	1	0	0
58	255	1	0	0
115	96	1	0	0
90	197	1	0	0
110	24	1	0	0
71	131	1	0	0
109	31	1	0	0
116	255	1	0	0
115	7	1	0	0
98	35	1	0	0
112	2	1	0	0
97	225	1	0	0
81	240	1	0	0
97	192	1	0	0
108	60	1	0	0
110	131	1	0	0
117	155	1	0	0
29	195	1	0	0
106	2	1	0	0
118	131	1	0	0
114	31	1	0	0
117	252	1	0	0
122	195	1	0	0
96	0	1	0	0
101	120	1	0	0
117	195	1	0	0
112	61	1	0	0
105	242	1	0	0
101	192	1	0	0
110	63	1	0	0
111	52	1	0	0
109	70	1	0	0
110	141	1	0	0
166	62	0	1	0
124	254	0	1	0
123	30	0	1	0
55	29	0	1	0
156	8	0	1	0
143	30	0	1	0
171	11	0	1	0
141	239	0	1	0
109	155	0	1	0
118	30	0	1	0
109	211	0	1	0
130	14	0	1	0
133	30	0	1	0
167	0	0	1	0
115	241	0	1	0
74	196	0	1	0
155	120	0	1	0
167	52	0	1	0
110	191	0	1	0
157	56	0	1	0
118	253	0	1	0
112	8	0	1	0
84	64	0	1	0
77	62	0	1	0
102	135	0	1	0
66	60	0	1	0
162	163	0	1	0
150	30	0	1	0
114	60	0	1	0
102	120	0	1	0
117	228	0	1	0
63	131	0	1	0
166	7	0	1	0
39	7	0	1	0
141	2	0	1	0
137	225	0	1	0
161	0	0	1	0
115	207	0	1	0
165	188	0	1	0
141	195	0	1	0
37	252	0	1	0
114	243	0	1	0
118	96	0	1	0
164	31	0	1	0
125	62	0	1	0
141	112	0	1	0
146	60	0	1	0
106	222	0	1	0
155	255	0	1	0
145	255	0	1	0
60	45	0	1	0
130	195	0	1	0
51	116	0	1	0
112	223	0	1	0
113	98	0	1	0
133	61	0	1	0
114	224	0	1	0
127	185	0	1	0
56	23	0	1	0
114	32	0	1	0
107	249	0	1	0
146	28	0	1	0
173	231	0	1	0
99	8	0	1	0
99	56	0	1	0
42	251	0	1	0
163	192	0	1	0
116	225	0	1	0
148	243	0	1	0
122	231	0	1	0
75	243	0	1	0
157	35	0	1	0
148	62	0	1	0
