a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
113	22	1	0	0	0	0	0	0	0	0	0
41	0	1	0	0	0	0	0	0	0	0	0
48	24	1	0	0	0	0	0	0	0	0	0
56	111	1	0	0	0	0	0	0	0	0	0
50	1	1	0	0	0	0	0	0	0	0	0
51	3	1	0	0	0	0	0	0	0	0	0
119	0	1	0	0	0	0	0	0	0	0	0
48	15	1	0	0	0	0	0	0	0	0	0
47	127	1	0	0	0	0	0	0	0	0	0
130	134	1	0	0	0	0	0	0	0	0	0
53	255	1	0	0	0	0	0	0	0	0	0
48	159	1	0	0	0	0	0	0	0	0	0
107	143	1	0	0	0	0	0	0	0	0	0
47	200	1	0	0	0	0	0	0	0	0	0
109	64	1	0	0	0	0	0	0	0	0	0
60	193	1	0	0	0	0	0	0	0	0	0
116	63	1	0	0	0	0	0	0	0	0	0
53	217	1	0	0	0	0	0	0	0	0	0
51	28	1	0	0	0	0	0	0	0	0	0
134	193	1	0	0	0	0	0	0	0	0	0
47	10	1	0	0	0	0	0	0	0	0	0
76	239	1	0	0	0	0	0	0	0	0	0
61	248	1	0	0	0	0	0	0	0	0	0
121	84	1	0	0	0	0	0	0	0	0	0
112	249	1	0	0	0	0	0	0	0	0	0
58	193	1	0	0	0	0	0	0	0	0	0
32	125	1	0	0	0	0	0	0	0	0	0
52	96	1	0	0	0	0	0	0	0	0	0
59	149	1	0	0	0	0	0	0	0	0	0
87	32	1	0	0	0	0	0	0	0	0	0
118	224	1	0	0	0	0	0	0	0	0	0
40	95	1	0	0	0	0	0	0	0	0	0
51	128	1	0	0	0	0	0	0	0	0	0
53	58	1	0	0	0	0	0	0	0	0	0
45	231	1	0	0	0	0	0	0	0	0	0
45	160	1	0	0	0	0	0	0	0	0	0
52	241	1	0	0	0	0	0	0	0	0	0
128	223	1	0	0	0	0	0	0	0	0	0
119	31	1	0	0	0	0	0	0	0	0	0
42	48	1	0	0	0	0	0	0	0	0	0
42	157	1	0	0	0	0	0	0	0	0	0
124	203	1	0	0	0	0	0	0	0	0	0
61	255	1	0	0	0	0	0	0	0	0	0
45	32	1	0	0	0	0	0	0	0	0	0
118	28	1	0	0	0	0	0	0	0	0	0
46	207	1	0	0	0	0	0	0	0	0	0
115	152	1	0	0	0	0	0	0	0	0	0
107	32	1	0	0	0	0	0	0	0	0	0
57	79	1	0	0	0	0	0	0	0	0	0
115	0	1	0	0	0	0	0	0	0	0	0
48	30	1	0	0	0	0	0	0	0	0	0
127	128	1	0	0	0	0	0	0	0	0	0
119	63	1	0	0	0	0	0	0	0	0	0
60	241	1	0	0	0	0	0	0	0	0	0
45	10	1	0	0	0	0	0	0	0	0	0
51	2	1	0	0	0	0	0	0	0	0	0
62	0	1	0	0	0	0	0	0	0	0	0
112	204	1	0	0	0	0	0	0	0	0	0
44	253	1	0	0	0	0	0	0	0	0	0
47	183	1	0	0	0	0	0	0	0	0	0
50	197	1	0	0	0	0	0	0	0	0	0
55	247	1	0	0	0	0	0	0	0	0	0
64	225	1	0	0	0	0	0	0	0	0	0
122	4	1	0	0	0	0	0	0	0	0	0
57	231	1	0	0	0	0	0	0	0	0	0
86	135	1	0	0	0	0	0	0	0	0	0
42	56	1	0	0	0	0	0	0	0	0	0
115	2	1	0	0	0	0	0	0	0	0	0
61	95	1	0	0	0	0	0	0	0	0	0
58	131	1	0	0	0	0	0	0	0	0	0
35	56	1	0	0	0	0	0	0	0	0	0
51	135	1	0	0	0	0	0	0	0	0	0
48	28	1	0	0	0	0	0	0	0	0	0
54	225	1	0	0	0	0	0	0	0	0	0
47	192	1	0	0	0	0	0	0	0	0	0
50	2	1	0	0	0	0	0	0	0	0	0
40	24	1	0	0	0	0	0	0	0	0	0
122	59	1	0	0	0	0	0	0	0	0	0
112	193	1	0	0	0	0	0	0	0	0	0
123	226	1	0	0	0	0	0	0	0	0	0
60	0	1	0	0	0	0	0	0	0	0	0
117	0	1	0	0	0	0	0	0	0	0	0
50	0	1	0	0	0	0	0	0	0	0	0
54	32	1	0	0	0	0	0	0	0	0	0
56	2	1	0	0	0	0	0	0	0	0	0
119	254	1	0	0	0	0	0	0	0	0	0
56	120	1	0	0	0	0	0	0	0	0	0
114	0	1	0	0	0	0	0	0	0	0	0
42	241	1	0	0	0	0	0	0	0	0	0
110	31	1	0	0	0	0	0	0	0	0	0
59	199	1	0	0	0	0	0	0	0	0	0
64	231	1	0	0	0	0	0	0	0	0	0
45	223	1	0	0	0	0	0	0	0	0	0
51	0	1	0	0	0	0	0	0	0	0	0
124	2	1	0	0	0	0	0	0	0	0	0
115	195	1	0	0	0	0	0	0	0	0	0
65	56	1	0	0	0	0	0	0	0	0	0
120	96	1	0	0	0	0	0	0	0	0	0
109	16	1	0	0	0	0	0	0	0	0	0
47	131	1	0	0	0	0	0	0	0	0	0
