Známky SŠ	!BI-P11_Z1KO0CE0O	!BI-PA1_NEZAKONCENO
1	1	0
1	0	1
1	1	0
1	0	1
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	0	1
1	1	0
1	0	1
1	1	0
1	0	1
1	0	1
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	0	1
1	0	1
1	0	1
1	0	1
1	1	0
1	0	1
1	1	0
1	1	0
1	1	0
1	1	0
1	0	1
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	0	1
1	0	1
1	0	1
1	0	1
1	1	0
1	0	1
1	1	0
1	0	1
1	0	1
1	0	1
1	1	0
1	0	1
1	1	0
1	0	1
1	1	0
1	1	0
1	0	1
1	1	0
1	1	0
1	1	0
1	0	1
1	1	0
1	0	1
1	1	0
1	0	1
1	0	1
1	1	0
1	0	1
1	1	0
1	0	1
1	0	1
1.25	1	0
1.25	0	1
1.25	1	0
1.25	0	1
1.25	1	0
1.25	1	0
1.25	0	1
1.25	1	0
1.25	0	1
1.25	1	0
1.25	1	0
1.25	0	1
1.25	1	0
1.25	1	0
1.25	1	0
1.25	1	0
1.25	0	1
1.25	1	0
1.25	1	0
1.25	1	0
1.25	1	0
1.25	1	0
1.25	0	1
1.25	0	1
1.25	1	0
1.25	1	0
1.25	0	1
1.25	0	1
1.25	1	0
1.5	0	1
1.5	1	0
1.5	0	1
1.5	0	1
1.5	0	1
1.5	1	0
1.5	1	0
1.5	1	0
1.5	0	1
1.5	1	0
1.5	0	1
1.5	0	1
1.5	0	1
1.5	0	1
1.5	1	0
1.5	0	1
1.5	0	1
1.5	1	0
1.5	0	1
1.5	0	1
1.5	0	1
1.5	0	1
1.5	1	0
1.5	1	0
1.5	0	1
1.5	1	0
1.5	1	0
1.5	1	0
1.5	0	1
1.5	1	0
1.5	0	1
1.75	1	0
1.75	0	1
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	1	0
1.75	0	1
1.75	0	1
1.75	0	1
1.75	0	1
1.75	0	1
1.75	1	0
1.75	0	1
1.75	1	0
1.75	1	0
1.75	0	1
1.75	1	0
1.75	0	1
1.75	0	1
1.75	1	0
1.75	1	0
1.75	0	1
1.75	0	1
1.75	1	0
1.75	1	0
1.75	0	1
1.75	1	0
2	1	0
2	0	1
2	0	1
2	0	1
2	1	0
2	0	1
2	0	1
2	1	0
2	0	1
2	1	0
2	0	1
2	1	0
2	1	0
2	1	0
2	1	0
2	1	0
2	1	0
2	0	1
2	1	0
2	1	0
2	1	0
2	1	0
2	1	0
2	1	0
2	0	1
2	0	1
2	0	1
2	1	0
2	0	1
2	1	0
2	1	0
2	1	0
2	1	0
2	0	1
2	0	1
2	1	0
2	1	0
2	1	0
2	1	0
2	1	0
2	0	1
2.25	1	0
2.25	1	0
2.25	1	0
2.25	0	1
2.25	1	0
2.25	1	0
2.25	0	1
2.25	1	0
2.25	1	0
2.25	1	0
2.25	0	1
2.25	0	1
2.25	1	0
2.25	1	0
2.25	0	1
2.25	0	1
2.25	1	0
2.25	1	0
2.25	0	1
2.25	1	0
2.25	1	0
2.25	1	0
2.25	1	0
2.25	0	1
2.25	1	0
2.5	0	1
2.5	0	1
2.5	1	0
2.5	1	0
2.5	0	1
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	0	1
2.5	0	1
2.5	0	1
2.5	1	0
2.5	1	0
2.5	0	1
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	0	1
2.5	0	1
2.5	0	1
2.5	0	1
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.5	1	0
2.666666667	0	1
2.75	1	0
2.75	1	0
2.75	1	0
2.75	0	1
2.75	1	0
2.75	1	0
2.75	1	0
2.75	1	0
2.75	1	0
2.75	1	0
2.75	0	1
2.75	1	0
2.75	1	0
2.75	1	0
2.75	0	1
2.75	1	0
2.75	0	1
2.75	1	0
2.75	0	1
2.75	0	1
2.75	1	0
2.75	1	0
2.75	1	0
2.75	0	1
2.75	1	0
2.75	0	1
2.75	0	1
2.75	1	0
2.75	1	0
2.75	0	1
2.75	0	1
2.75	0	1
2.75	0	1
2.75	0	1
2.75	0	1
3	1	0
3	1	0
3	1	0
3	0	1
3	0	1
3	0	1
3	1	0
3	1	0
3	0	1
3	1	0
3	1	0
3	1	0
3	1	0
3	1	0
3	1	0
3	1	0
3	0	1
3	1	0
3	1	0
3	0	1
3	0	1
3	1	0
3	1	0
3	0	1
3	1	0
3	1	0
3	1	0
3	0	1
3	1	0
3	1	0
3	1	0
3	0	1
3	1	0
3	1	0
3.25	0	1
3.25	1	0
3.25	1	0
3.25	1	0
3.25	0	1
3.25	0	1
3.25	1	0
3.25	0	1
3.25	1	0
3.25	1	0
3.25	1	0
3.25	0	1
3.25	0	1
3.25	0	1
3.25	1	0
3.25	0	1
3.25	1	0
3.25	1	0
3.25	1	0
3.25	1	0
3.5	0	1
3.5	0	1
3.5	1	0
3.5	1	0
3.5	1	0
3.5	1	0
3.5	0	1
3.5	1	0
3.5	1	0
3.5	1	0
3.5	1	0
3.5	1	0
3.5	0	1
3.75	0	1
3.75	1	0
3.75	0	1
3.75	0	1
3.75	1	0
3.75	1	0
3.75	1	0
3.75	1	0
4	0	1
4	1	0
4	0	1
4	0	1
4.25	1	0
4.25	0	1
