X	!Y
0	3
0.5	2.98
1	2.9
1.5	2.85
2	2.81
2.5	2.7
3	2.6
3.5	2.5
4	2.3
4.5	2
5	1.5
5.5	1.25
6	1
6.5	0.75
7	0.5
7.5	0.4
8	0.3
8.5	0.15
9	0.1
9.5	0.02
10	0
10.5	0.02
11	0.05
11.5	0.1
12	0.18
12.5	0.25
13	0.3
13.5	0.4
14	0.6
14.5	0.85
15	1.2
15.5	1.7
16	2.3
16.5	3
17	4
17.5	4.6
18	5
18.5	5.35
19	5.5
19.5	5.58
20	5.6
20.5	5.62
21	5.62
21.5	5.6
22	5.58
22.5	5.5
23	5.35
23.5	5
24	4.6
24.5	4
25	3
25.5	2.3
26	1.7
26.5	1.2
27	0.85
27.5	0.6
28	0.4
28.5	0.3
29	0.25
29.5	0.18
30	0.1
30.5	0.05
31	0.02
31.5	0
32	0.02
32.5	0.1
33	0.15
33.5	0.3
34	0.4
34.5	0.5
35	0.75
35.5	1
36	1.25
36.5	1.5
37	2
37.5	2.3
38	2.5
38.5	2.6
39	2.7
39.5	2.81
40	2.85
40.5	2.9
41	2.98
41.5	3
