count	valid	test	verified	noise	noise2	noise4	noise8	noise16	sort_by	!real
3	0.777777778	0.829457364	0.798449612	0.735543224	0.635993825	0.57993992	0.50725968	0.356746495	1.218346253	0.859614158
3	0.748148148	0.837209302	0.790697674	0.827007438	0.742823765	0.678786	0.598321572	0.435151631	1.211283376	0.848305394
3	0.8	0.80620155	0.813953488	0.734884608	0.637016021	0.586830059	0.513374976	0.393596224	1.20620155	0.859967201
1	0.733333333	0.837209302	0.751937984	0.718249332	0.626668892	0.573264352	0.499165554	0.369993324	1.203875969	0.851403061
1	0.733333333	0.837209302	0.782945736	0.861315087	0.791555407	0.726468625	0.641021362	0.482977303	1.203875969	0.881696429
1	0.777777778	0.813953488	0.76744186	0.81396028	0.731558745	0.66805741	0.591705607	0.431909212	1.202842377	0.852519133
3	0.755555556	0.821705426	0.80620155	0.72855474	0.63463785	0.581733979	0.507676903	0.379631175	1.199483204	0.858737245
3	0.748148148	0.821705426	0.751937984	0.816046395	0.73402036	0.668015688	0.58611482	0.427653538	1.1957795	0.848214286
1	0.711111111	0.837209302	0.782945736	0.705774366	0.614944927	0.561206609	0.494742991	0.364778037	1.192764858	0.851403061
3	0.740740741	0.821705426	0.829457364	0.804614486	0.724465955	0.665136849	0.5875751	0.431450267	1.192075797	0.867506378
1	0.755555556	0.813953488	0.829457364	0.864944927	0.79960781	0.738860147	0.651243324	0.493115821	1.191731266	0.881855867
1	0.755555556	0.813953488	0.790697674	0.719709613	0.628296061	0.577019359	0.505966288	0.376794059	1.191731266	0.86973852
1	0.755555556	0.813953488	0.782945736	0.886515354	0.829147196	0.769233979	0.691255007	0.498414553	1.191731266	0.836734694
3	0.748148148	0.813953488	0.813953488	0.719083778	0.626877503	0.579188919	0.509095461	0.387808745	1.188027562	0.85411352
3	0.748148148	0.813953488	0.775193798	0.730724299	0.6377253	0.581108144	0.512308077	0.382217957	1.188027562	0.865274235
1	0.733333333	0.813953488	0.829457364	0.725592457	0.635847797	0.591955941	0.519108812	0.393983645	1.180620155	0.850127551
1	0.733333333	0.813953488	0.821705426	0.757343124	0.658127503	0.607101135	0.52307243	0.397446595	1.180620155	0.866390306
3	0.762962963	0.798449612	0.829457364	0.720460614	0.623790053	0.573055741	0.502336449	0.385639186	1.179931094	0.86463648
3	0.762962963	0.798449612	0.790697674	0.722254673	0.631300067	0.579731308	0.509095461	0.385472296	1.179931094	0.863042092
1	0.777777778	0.790697674	0.798449612	0.838409546	0.756300067	0.690462283	0.599591121	0.436164887	1.179586563	0.860012755
1	0.777777778	0.790697674	0.813953488	0.804489319	0.720836115	0.659712951	0.589285714	0.434495995	1.179586563	0.856026786
3	0.755555556	0.798449612	0.782945736	0.685413885	0.593499666	0.543474633	0.476552069	0.34938251	1.17622739	0.860969388
2	0.733333333	0.802325581	0.798449612	0.830357143	0.749624499	0.682535047	0.599257343	0.435997997	1.168992248	0.850765306
3	0.785185185	0.775193798	0.782945736	0.736815754	0.641271696	0.590161883	0.519359146	0.392398198	1.167786391	0.869579082
3	0.733333333	0.798449612	0.829457364	0.798022363	0.717706943	0.659921562	0.584404206	0.425567423	1.165116279	0.854432398
3	0.740740741	0.790697674	0.775193798	0.782459947	0.704856475	0.647446595	0.574641188	0.420685915	1.161068045	0.848373724
1	0.688888889	0.813953488	0.798449612	0.724257343	0.62954773	0.575475634	0.503421228	0.386473632	1.158397933	0.860172194
2	0.733333333	0.790697674	0.782945736	0.731558745	0.638351135	0.584612817	0.50963785	0.389936582	1.157364341	0.860969388
