i1 i2 !classical !jazz !rock !blues !metal !pop
2.5788 481.45 0.0 0.0 0.0 0.0 0.0 1.0 
2.7195 1405.3 0.0 0.0 0.0 1.0 0.0 0.0 
2.5351 601.09 0.0 0.0 0.0 0.0 0.0 1.0 
2.4465 637.73 0.0 1.0 0.0 0.0 0.0 0.0 
2.5657 776.86 0.0 1.0 0.0 0.0 0.0 0.0 
2.7737 447.09 1.0 0.0 0.0 0.0 0.0 0.0 
2.4708 599.25 0.0 0.0 0.0 1.0 0.0 0.0 
2.5227 498.42 0.0 1.0 0.0 0.0 0.0 0.0 
2.9847 666.5 0.0 1.0 0.0 0.0 0.0 0.0 
2.468 667.05 0.0 0.0 1.0 0.0 0.0 0.0 
2.3166 282.55 0.0 1.0 0.0 0.0 0.0 0.0 
2.5166 1040.9 0.0 0.0 1.0 0.0 0.0 0.0 
2.3722 1064.3 0.0 1.0 0.0 0.0 0.0 0.0 
2.4552 379.35 0.0 0.0 0.0 1.0 0.0 0.0 
2.6085 480.13 1.0 0.0 0.0 0.0 0.0 0.0 
1.7986 757.47 1.0 0.0 0.0 0.0 0.0 0.0 
2.5377 966.98 0.0 0.0 1.0 0.0 0.0 0.0 
1.9526 340.34 0.0 1.0 0.0 0.0 0.0 0.0 
2.4635 686.39 1.0 0.0 0.0 0.0 0.0 0.0 
2.3302 1372.5 0.0 0.0 0.0 1.0 0.0 0.0 
2.211 187.85 0.0 1.0 0.0 0.0 0.0 0.0 
2.5311 393.02 0.0 0.0 0.0 1.0 0.0 0.0 
2.3233 742.79 0.0 1.0 0.0 0.0 0.0 0.0 
2.5544 2088.2 0.0 0.0 0.0 0.0 0.0 1.0 
2.501 584.63 0.0 1.0 0.0 0.0 0.0 0.0 
2.2691 1666.4 0.0 0.0 0.0 0.0 0.0 1.0 
2.3382 1047.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.5167 1566.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.631 711.31 0.0 1.0 0.0 0.0 0.0 0.0 
3.0215 745.98 1.0 0.0 0.0 0.0 0.0 0.0 
2.4278 434.69 0.0 0.0 0.0 0.0 0.0 1.0 
2.9919 765.69 1.0 0.0 0.0 0.0 0.0 0.0 
2.5968 747.47 1.0 0.0 0.0 0.0 0.0 0.0 
2.536 602.17 0.0 0.0 0.0 1.0 0.0 0.0 
2.4572 1078.4 0.0 0.0 0.0 0.0 1.0 0.0 
3.1687 589.1 1.0 0.0 0.0 0.0 0.0 0.0 
2.4646 1000.4 0.0 0.0 1.0 0.0 0.0 0.0 
2.2044 593.53 1.0 0.0 0.0 0.0 0.0 0.0 
3.0705 605.13 1.0 0.0 0.0 0.0 0.0 0.0 
2.4952 949.87 0.0 0.0 1.0 0.0 0.0 0.0 
2.5721 137.66 0.0 1.0 0.0 0.0 0.0 0.0 
2.4806 589.71 0.0 0.0 1.0 0.0 0.0 0.0 
2.5287 572.23 0.0 1.0 0.0 0.0 0.0 0.0 
2.7383 520.43 1.0 0.0 0.0 0.0 0.0 0.0 
1.9937 178.91 0.0 0.0 1.0 0.0 0.0 0.0 
2.5498 1018.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.3289 989.08 0.0 0.0 0.0 1.0 0.0 0.0 
2.4386 1473.3 0.0 0.0 0.0 1.0 0.0 0.0 
