input0	input1	input2	input3	input4	input5	input6	rndInput0	rndInput1	rndInput2	rndInput3	rndInput4	rndInput5	rndInput6	rndInput7	rndInput8	!output0	!output1	!output2	!output3	!output4	!output5	!output6	!output7
0.49	0.29	0.48	0.5	0.56	0.24	0.35	0.7012724653254767	0.43008286571103393	0.15051499218520015	0.7808581276643558	0.8447406094472727	0.28493808718061553	0.6278045910624845	0.6803950633271689	0.46910139346977653	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.07	0.4	0.48	0.5	0.54	0.35	0.44	0.519656796846473	0.026511988522636365	0.8671928596974177	0.5329505216744117	0.9838630349611452	0.4816468807693054	0.7354791861163431	0.18351009542819452	0.6911318595808391	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.56	0.4	0.48	0.5	0.49	0.37	0.46	0.8916262962790286	0.7284302457330358	0.6935023120348162	0.2749110143782454	0.13705109274890115	0.06502792795456447	0.7231278673688374	0.8485039276537881	0.1228934857190277	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.59	0.49	0.48	0.5	0.52	0.45	0.36	0.857199712994476	0.6852558372117901	0.923441392186644	0.42659666513123495	0.9829942700978617	0.9460330393892028	0.7212334824946237	0.3043145686035035	0.4028351934110288	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.23	0.32	0.48	0.5	0.55	0.25	0.35	0.8284731439467887	0.4254070692714338	0.5584958072610975	0.9584340530468752	0.9031862853828095	0.6638987035198789	0.3022430104596997	0.0777330510627553	0.8482627669935914	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.67	0.39	0.48	0.5	0.36	0.38	0.46	0.7862862197876096	0.9693547874539898	0.22428691380432175	0.2394248494175848	0.3060071903971219	0.013684406687022532	0.3757823889115228	0.9919130389274281	0.21462556412676115	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.29	0.28	0.48	0.5	0.44	0.23	0.34	0.6174259152039149	0.2939328605105661	0.8171742192451407	0.7433726322929431	0.38516473192543577	0.8567747324957388	0.980271056049546	0.546601991780424	0.43900646440882807	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.21	0.34	0.48	0.5	0.51	0.28	0.39	0.26443129773283724	0.8480332001400782	0.21246269814488672	0.5498241338211753	0.5006987359858053	0.2033229499751954	0.46800834061591956	0.9406409518175559	0.03534818692066122	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.44	0.48	0.5	0.46	0.51	0.57	0.06738877812742039	0.4391243810188983	0.1803916665266978	0.3858264835946076	0.820132533828615	0.8500697686545776	0.14978271179012848	0.8220779541373704	0.7372171802827265	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.42	0.4	0.48	0.5	0.56	0.18	0.3	0.10309297373450366	0.40569774880505904	0.19449753092896105	0.6732936522580288	0.7654969495512645	0.39657132313636656	0.5925662095598726	0.5122269772706082	0.10969103547916115	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.42	0.24	0.48	0.5	0.57	0.27	0.37	0.888380688299373	0.300506909099039	0.17805323713901222	0.0011823863040799631	0.6493819110810549	0.3063397194931863	0.4545009114776808	0.6101235042422604	0.9114429019975551	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.48	0.48	0.5	0.44	0.17	0.29	0.4420034373373848	0.5962609420716194	0.13394594773327706	0.3768028130653188	0.08474956873205586	0.7317924374667012	0.961775352043112	0.5713138226535116	0.23380452969162568	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.39	0.32	0.48	0.5	0.46	0.24	0.35	0.35530159012983065	0.4857360042146507	0.15869753457498548	0.6913340955771822	0.7846333377329606	0.0699178111235329	0.42507527765717357	0.023033774487266956	0.3221669859715469	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.51	0.5	0.48	0.5	0.46	0.32	0.35	0.5246924534709685	0.5190075954642572	0.9512076788994162	0.9974084228414248	0.8022295606287893	0.1895056223093774	0.8419873752671372	0.19282290208459252	0.5284776925317226	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.22	0.43	0.48	0.5	0.48	0.16	0.28	0.7029522451195436	0.9883815795798389	0.15855423771923627	0.4175392223224681	0.3395992112061156	0.4621361267846329	0.40702793183798824	0.5762819980281277	0.37128138616145656	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.4	0.48	0.5	0.46	0.44	0.52	0.40992335530333157	0.24503691146413908	0.2001951152747854	0.7042169308946168	0.8031685602719184	0.24876014577382344	0.185909467791194	0.4342381097129103	0.8158605667458202	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.34	0.45	0.48	0.5	0.38	0.24	0.35	0.3162666312369875	0.7414688937413817	0.4065245637702908	0.20098213272590515	0.042407848928219916	0.16235066554483402	0.4978868019517202	0.2637357039147309	0.5526040489622513	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.44	0.27	0.48	0.5	0.55	0.52	0.58	0.5593989362157283	0.7468748479380305	0.28852819129071305	0.6048809493114209	0.47424848674028175	0.645463217525061	0.5667181177380657	0.7236152892913952	0.9984800875204526	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
