i0	i1	!o0	!o1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	0	1
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
0.5	0.5	1	0
