x1	x2	irelevant1	irelevant2	irelevant3	!spiral1	!spiral2
-0.10974	0.55169	0.726182614	0.891443531	0.662373271	1	0
0.10974	-0.55169	0.310871808	0.697525278	0.623148189	0	1
-0.23918	0.57742	0.854987284	0.438162545	0.43428121	1	0
0.23918	-0.57742	0.777527861	0.250249852	0.904767928	0	1
-0.38195	0.57164	0.5186986	0.582340189	0.653148142	1	0
0.38195	-0.57164	0.616493307	0.515342159	0.367409404	0	1
-0.53033	0.53033	0.1553567	0.981281137	0.386654491	1	0
0.53033	-0.53033	0.215022748	0.758088359	0.722237727	0	1
-0.67557	0.4514	0.34884802	0.009298443	0.604729074	1	0
0.67557	-0.4514	0.222306271	0.026569761	0.949226434	0	1
-0.80839	0.33485	0.227681018	0.448933625	0.646102632	1	0
0.80839	-0.33485	0.745429934	0.946603716	0.245988177	0	1
-0.91949	0.1829	0.893297049	0.811102878	0.170866069	1	0
0.91949	-0.1829	0.101001193	0.198367395	0.023583541	0	1
-1	0	0.288803973	0.68407949	0.902544743	1	0
1	0	0.636301921	0.935418422	0.305867215	0	1
-1.04208	-0.20728	0.452622575	0.413631296	0.892066904	1	0
1.04208	0.20728	0.187607671	0.325744652	0.820393637	0	1
-1.03936	-0.43052	0.414010304	0.334726742	0.380459998	1	0
1.03936	0.43052	0.484648723	0.116677936	0.043393932	0	1
-0.98737	-0.65974	0.650057915	0.444355128	0.355942399	1	0
0.98737	0.65974	0.724437769	0.362906518	0.651709373	0	1
-0.88388	-0.88388	0.498459824	0.076153006	0.243701965	1	0
0.88388	0.88388	0.625827483	0.061957892	0.929296547	0	1
-0.72919	-1.0913	0.809675426	0.8272913	0.623108729	1	0
0.72919	1.0913	0.30479126	0.65756123	0.12910953	0	1
-0.52619	-1.27033	0.419191292	0.728681213	0.618058282	1	0
0.52619	1.27033	0.061765793	0.082027018	0.072539745	0	1
-0.28044	-1.40988	0.359250828	0.738856127	0.472876801	1	0
0.28044	1.40988	0.694310837	0.988611859	0.113508452	0	1
0	-1.5	0.634055318	0.893354896	0.520648695	1	0
0	1.5	0.80430147	0.988812953	0.253733666	0	1
0.30483	-1.53248	0.51809418	0.43417268	0.125497607	1	0
-0.30483	1.53248	0.087976478	0.363316907	0.686237139	0	1
0.62186	-1.5013	0.759598513	0.572584424	0.478418727	1	0
-0.62186	1.5013	0.124147543	0.805206815	0.398042657	0	1
0.93752	-1.4031	0.47642087	0.063735877	0.231521084	1	0
-0.93752	1.4031	0.321080532	0.116919393	0.978096274	0	1
1.23744	-1.23744	0.506835925	0.868812382	0.6423998	1	0
-1.23744	1.23744	0.571968305	0.395881591	0.266188858	0	1
1.50704	-1.00697	0.250374985	0.991939956	0.083865645	1	0
-1.50704	1.00697	0.694125701	0.475907327	0.522183743	0	1
1.73227	-0.71753	0.722012616	0.261472769	0.760071409	1	0
-1.73227	0.71753	0.795278443	0.251088418	0.986872093	0	1
1.90027	-0.37799	0.405606814	0.801825121	0.204484426	1	0
-1.90027	0.37799	0.49444039	0.895483403	0.906649553	0	1
2	0	0.17886902	0.150995376	0.455074245	1	0
-2	0	0.113353779	0.945434176	0.679904437	0	1
2.02287	0.40237	0.88234519	0.124501746	0.685052876	1	0
-2.02287	-0.40237	0.001406873	0.162484948	0.895133848	0	1
1.96324	0.8132	0.199589366	0.328332623	0.881687827	1	0
-1.96324	-0.8132	0.532069461	0.114932123	0.826583529	0	1
1.81884	1.21531	0.226194355	0.667061881	0.919892492	1	0
-1.81884	-1.21531	0.747550149	0.466910202	0.855494187	0	1
