word_freq_make	word_freq_address	word_freq_all	word_freq_3d	word_freq_our	word_freq_over	word_freq_remove	word_freq_internet	word_freq_order	word_freq_mail	word_freq_receive	word_freq_will	word_freq_people	word_freq_report	word_freq_addresses	word_freq_free	word_freq_business	word_freq_email	word_freq_you	word_freq_credit	word_freq_your	word_freq_font	word_freq_000	word_freq_money	word_freq_hp	word_freq_hp	word_freq_george	word_freq_650	word_freq_lab	word_freq_labs	word_freq_telnet	word_freq_857	word_freq_data	word_freq_415	word_freq_85	word_freq_technology	word_freq_1999	word_freq_parts	word_freq_pm	word_freq_direct	word_freq_cs	word_freq_meeting	word_freq_original	word_freq_project	word_freq_re	word_freq_edu	word_freq_table	word_freq_conference	char_freq_;	char_freq_(	char_freq_[	char_freq_!	char_freq_$	char_freq_#	capital_run_length_average	capital_run_length_longest	capital_run_length_total	!spam	!not_spam
0	0	0	0	1.85	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223	0	0	0	0	3	15	54	1	0
0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428	0	0	4.652	31	107	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729	0	0.729	0	0	3.833	9	23	1	0
0	0	0.48	0	1.46	0	0.48	0	0	0	0	0.97	0	0	0	0.48	0.97	0	2.43	0	2.43	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.081	0	0.488	0.244	0	5.431	78	239	1	0
0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355	0.355	0	0.711	0	0	4	12	28	1	0
0.46	0.3	0.46	0	0.05	0.12	0.05	0.28	0.43	0.74	0.25	0.97	0.56	1.23	0	0.25	0.43	0.02	3.22	0	1.46	0	1.05	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.065	0	0.325	0.756	0.153	5.891	193	3040	1	0
0	0.34	0	0	0.68	0	0.68	0	0	0.34	0.34	0	0	0	0	0.34	0	1.36	3.42	0	2.73	0	0	0	0.34	0.34	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.048	0	1.411	15	96	1	0
0	0	0	0	0	0	1.47	0	0	1.47	0	1.47	0	0	0	0	0	0	5.88	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.214	3	17	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26	5.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338	0	1.666	5	10	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.55	0	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.431	0	0	4.071	29	114	1	0
