a0	a1	a2	a3	!t0	!t1	!t2
113	137	148	225	1	0	0
125	150	163	96	1	0	0
116	140	150	137	1	0	0
125	148	160	7	1	0	0
81	105	113	195	1	0	0
115	142	152	231	1	0	0
104	128	138	193	1	0	0
89	117	127	241	1	0	0
87	121	136	28	1	0	0
85	113	124	241	1	0	0
105	127	138	0	1	0	0
74	104	116	225	1	0	0
114	139	150	195	1	0	0
94	121	130	129	1	0	0
80	107	116	255	1	0	0
112	139	150	195	1	0	0
117	141	152	0	1	0	0
117	141	152	27	1	0	0
106	130	139	129	1	0	0
109	140	155	18	1	0	0
105	129	139	225	1	0	0
107	139	155	221	1	0	0
88	113	123	3	1	0	0
103	127	137	227	1	0	0
92	117	126	8	1	0	0
119	147	161	60	1	0	0
100	123	133	247	1	0	0
115	140	151	131	1	0	0
43	71	96	124	1	0	0
128	150	162	79	1	0	0
122	148	160	124	1	0	0
120	150	162	224	1	0	0
94	119	129	0	1	0	0
86	113	122	252	1	0	0
89	115	124	195	1	0	0
117	141	153	56	1	0	0
92	117	128	193	1	0	0
122	146	158	255	1	0	0
93	120	129	255	1	0	0
118	142	152	249	1	0	0
113	139	148	0	1	0	0
121	145	156	48	1	0	0
122	147	157	147	1	0	0
108	133	143	195	1	0	0
93	118	126	0	1	0	0
107	133	144	193	1	0	0
115	139	149	2	1	0	0
84	111	123	112	1	0	0
106	130	138	195	1	0	0
123	146	157	32	1	0	0
124	145	157	198	1	0	0
21	55	79	62	1	0	0
88	113	122	2	1	0	0
99	123	132	252	1	0	0
118	143	153	0	1	0	0
118	142	153	124	1	0	0
113	141	156	56	1	0	0
121	145	156	143	1	0	0
113	139	152	126	1	0	0
88	112	122	199	1	0	0
101	126	135	8	1	0	0
105	130	139	135	1	0	0
91	115	125	195	1	0	0
91	116	125	131	1	0	0
110	134	146	7	1	0	0
122	149	162	127	1	0	0
99	124	133	193	1	0	0
123	148	161	225	1	0	0
120	145	154	12	1	0	0
123	147	159	6	1	0	0
95	121	130	225	1	0	0
118	142	153	30	1	0	0
119	144	154	6	1	0	0
119	143	154	112	1	0	0
4	22	40	248	1	0	0
100	125	134	197	1	0	0
123	145	157	55	1	0	0
118	142	153	38	1	0	0
120	147	161	4	1	0	0
92	119	130	193	1	0	0
102	128	137	193	1	0	0
114	141	155	30	1	0	0
120	144	155	176	1	0	0
88	116	126	195	1	0	0
69	107	127	63	1	0	0
96	128	143	31	1	0	0
106	132	141	195	1	0	0
27	66	90	159	1	0	0
106	130	141	131	1	0	0
99	123	132	131	1	0	0
113	140	154	124	1	0	0
114	142	152	0	1	0	0
121	145	156	56	1	0	0
115	141	151	28	1	0	0
61	100	119	28	1	0	0
119	142	153	0	1	0	0
19	55	80	31	1	0	0
120	144	153	124	1	0	0
124	148	157	19	1	0	0
112	137	148	252	1	0	0
100	125	134	56	1	0	0
103	127	138	241	1	0	0
117	141	153	223	1	0	0
108	135	147	159	1	0	0
124	144	156	145	1	0	0
117	140	152	32	1	0	0
108	131	141	125	1	0	0
94	117	127	7	1	0	0
128	149	160	129	1	0	0
69	97	109	227	1	0	0
34	74	97	185	1	0	0
95	119	128	193	1	0	0
117	140	151	78	1	0	0
116	141	152	56	1	0	0
119	142	153	63	1	0	0
104	129	139	24	1	0	0
88	112	121	131	1	0	0
99	124	133	135	1	0	0
125	148	162	193	1	0	0
114	138	150	3	1	0	0
115	139	150	0	1	0	0
87	113	122	120	1	0	0
19	51	71	143	1	0	0
114	141	153	96	1	0	0
121	143	155	249	1	0	0
116	142	152	223	1	0	0
119	149	162	8	1	0	0
91	117	126	195	1	0	0
85	111	123	161	1	0	0
114	138	149	240	1	0	0
102	134	146	15	1	0	0
111	141	155	30	1	0	0
96	120	129	253	1	0	0
114	140	150	54	1	0	0
114	139	149	2	1	0	0
102	125	134	2	1	0	0
109	134	143	195	1	0	0
113	142	156	56	1	0	0
103	127	136	195	1	0	0
114	138	148	6	1	0	0
127	150	162	255	1	0	0
113	139	150	243	1	0	0
104	129	139	7	1	0	0
95	121	130	1	1	0	0
111	135	145	131	1	0	0
19	54	77	15	1	0	0
84	115	126	224	1	0	0
101	125	134	249	1	0	0
116	140	151	35	1	0	0
52	86	107	195	1	0	0
87	116	124	195	1	0	0
108	130	138	2	1	0	0
121	145	157	131	1	0	0
116	141	152	124	1	0	0
118	144	158	30	1	0	0
86	111	120	124	1	0	0
104	126	137	241	1	0	0
101	128	145	126	1	0	0
87	115	125	249	1	0	0
120	145	157	32	1	0	0
99	123	133	0	1	0	0
85	111	121	71	1	0	0
118	144	156	15	1	0	0
116	141	152	6	1	0	0
115	139	150	243	1	0	0
112	137	147	60	1	0	0
115	139	150	248	1	0	0
86	111	121	56	1	0	0
100	128	140	2	1	0	0
113	137	147	223	1	0	0
101	125	135	195	1	0	0
116	145	159	96	1	0	0
111	137	146	249	1	0	0
123	149	160	8	1	0	0
98	121	131	195	1	0	0
111	135	144	227	1	0	0
112	138	149	0	1	0	0
120	143	155	44	1	0	0
114	141	152	28	1	0	0
78	105	117	195	1	0	0
121	145	155	197	1	0	0
105	132	141	227	1	0	0
123	148	160	135	1	0	0
82	107	117	227	1	0	0
100	124	134	48	1	0	0
123	150	163	24	1	0	0
114	138	148	96	1	0	0
94	118	128	195	1	0	0
125	151	163	28	1	0	0
130	153	164	193	1	0	0
97	122	131	128	1	0	0
36	76	98	199	1	0	0
124	145	158	135	1	0	0
117	142	150	2	1	0	0
119	143	154	0	1	0	0
98	121	131	112	1	0	0
115	141	152	253	1	0	0
97	120	128	195	1	0	0
102	127	137	2	1	0	0
111	137	152	15	1	0	0
105	129	137	225	1	0	0
93	118	126	224	1	0	0
122	144	156	108	1	0	0
72	102	113	195	1	0	0
86	109	118	195	1	0	0
109	133	143	129	1	0	0
69	94	106	241	1	0	0
85	114	135	60	1	0	0
116	140	151	120	1	0	0
112	138	149	243	1	0	0
112	137	148	12	1	0	0
127	152	164	12	1	0	0
126	148	159	128	1	0	0
117	140	150	96	1	0	0
97	121	130	240	1	0	0
95	121	130	3	1	0	0
120	142	150	131	1	0	0
100	126	136	96	1	0	0
58	94	116	255	1	0	0
115	138	150	96	1	0	0
90	115	124	197	1	0	0
110	137	148	24	1	0	0
71	98	112	131	1	0	0
109	134	147	31	1	0	0
116	140	150	255	1	0	0
115	140	151	7	1	0	0
98	121	130	35	1	0	0
112	137	146	2	1	0	0
97	119	129	225	1	0	0
81	111	123	240	1	0	0
97	123	132	192	1	0	0
108	139	153	60	1	0	0
110	135	144	131	1	0	0
117	143	156	155	1	0	0
29	59	74	195	1	0	0
106	131	143	2	1	0	0
118	141	148	131	1	0	0
114	139	150	31	1	0	0
117	141	151	252	1	0	0
122	145	155	195	1	0	0
96	119	127	0	1	0	0
101	126	136	120	1	0	0
117	141	153	195	1	0	0
112	138	148	61	1	0	0
105	130	139	242	1	0	0
101	125	134	192	1	0	0
110	135	146	63	1	0	0
111	140	154	52	1	0	0
109	133	144	70	1	0	0
110	135	145	141	1	0	0
166	113	97	62	0	1	0
124	74	53	254	0	1	0
123	83	68	30	0	1	0
55	33	26	29	0	1	0
156	135	116	8	0	1	0
143	89	76	30	0	1	0
171	126	99	11	0	1	0
141	89	73	239	0	1	0
109	66	57	155	0	1	0
118	76	59	30	0	1	0
109	78	69	211	0	1	0
130	86	67	14	0	1	0
133	94	78	30	0	1	0
167	119	93	0	0	1	0
115	89	81	241	0	1	0
74	48	37	196	0	1	0
155	114	100	120	0	1	0
167	118	88	52	0	1	0
110	70	56	191	0	1	0
157	126	106	56	0	1	0
118	69	51	253	0	1	0
112	69	53	8	0	1	0
84	41	26	64	0	1	0
77	45	30	62	0	1	0
102	63	47	135	0	1	0
66	33	22	60	0	1	0
162	111	88	163	0	1	0
150	101	79	30	0	1	0
114	76	60	60	0	1	0
102	60	45	120	0	1	0
117	69	51	228	0	1	0
63	39	29	131	0	1	0
166	118	96	7	0	1	0
39	23	13	7	0	1	0
141	93	75	2	0	1	0
137	100	76	225	0	1	0
161	106	81	0	0	1	0
115	88	76	207	0	1	0
165	120	91	188	0	1	0
141	101	82	195	0	1	0
37	23	17	252	0	1	0
114	65	46	243	0	1	0
118	79	64	96	0	1	0
164	121	95	31	0	1	0
125	77	61	62	0	1	0
141	100	80	112	0	1	0
146	103	84	60	0	1	0
106	79	75	222	0	1	0
155	115	93	255	0	1	0
145	104	81	255	0	1	0
60	33	17	45	0	1	0
130	89	65	195	0	1	0
51	20	11	116	0	1	0
112	71	50	223	0	1	0
113	81	60	98	0	1	0
133	90	72	61	0	1	0
114	66	51	224	0	1	0
127	79	52	185	0	1	0
56	21	11	23	0	1	0
114	80	63	32	0	1	0
107	62	45	249	0	1	0
146	86	64	28	0	1	0
173	129	105	231	0	1	0
99	64	49	8	0	1	0
99	69	56	56	0	1	0
42	20	18	251	0	1	0
163	116	91	192	0	1	0
116	76	56	225	0	1	0
148	104	80	243	0	1	0
122	82	68	231	0	1	0
75	52	41	243	0	1	0
157	111	89	35	0	1	0
148	106	88	62	0	1	0
25	14	6	254	0	1	0
129	83	58	16	0	1	0
99	75	63	60	0	1	0
41	22	9	64	0	1	0
131	92	73	34	0	1	0
129	89	60	60	0	1	0
166	121	94	135	0	1	0
90	55	37	28	0	1	0
158	106	83	239	0	1	0
155	114	99	96	0	1	0
155	124	105	120	0	1	0
156	109	84	195	0	1	0
149	103	79	31	0	1	0
156	112	90	129	0	1	0
168	127	93	4	0	1	0
77	54	43	130	0	1	0
118	79	62	60	0	1	0
105	65	48	116	0	1	0
123	74	51	16	0	1	0
131	89	65	5	0	1	0
139	89	62	40	0	1	0
107	70	62	30	0	1	0
141	92	63	143	0	1	0
92	54	44	120	0	1	0
147	121	100	167	0	1	0
20	13	4	0	0	1	0
148	98	72	112	0	1	0
121	85	69	12	0	1	0
139	85	65	60	0	1	0
167	122	96	112	0	1	0
120	72	50	143	0	1	0
81	69	55	60	0	1	0
107	80	71	252	0	1	0
153	109	92	14	0	1	0
135	95	74	221	0	1	0
100	63	51	127	0	1	0
169	120	95	199	0	1	0
158	107	81	48	0	1	0
138	103	83	48	0	1	0
121	82	66	34	0	1	0
138	107	92	24	0	1	0
109	66	57	155	0	1	0
79	63	54	126	0	1	0
138	99	79	60	0	1	0
137	103	95	62	0	1	0
148	106	85	30	0	1	0
145	87	66	225	0	1	0
129	88	75	15	0	1	0
150	102	80	64	0	1	0
145	97	79	255	0	1	0
165	113	83	12	0	1	0
154	123	101	30	0	1	0
131	80	58	135	0	1	0
35	19	10	100	0	1	0
134	91	74	227	0	1	0
114	71	57	28	0	1	0
133	85	64	255	0	1	0
165	114	87	230	0	1	0
137	93	75	255	0	1	0
77	45	27	143	0	1	0
137	96	71	231	0	1	0
80	49	33	124	0	1	0
164	114	93	8	0	1	0
120	88	71	193	0	1	0
163	115	89	51	0	1	0
135	93	71	124	0	1	0
115	69	53	24	0	1	0
132	93	74	6	0	1	0
134	106	93	120	0	1	0
123	73	51	193	0	1	0
110	73	62	157	0	1	0
131	89	73	61	0	1	0
156	100	84	96	0	1	0
51	31	20	16	0	1	0
148	98	74	15	0	1	0
154	107	82	34	0	1	0
117	73	56	7	0	1	0
14	8	7	252	0	1	0
69	42	24	14	0	1	0
121	65	41	0	0	1	0
167	119	94	32	0	1	0
169	121	92	195	0	1	0
151	97	70	82	0	1	0
172	126	100	135	0	1	0
168	120	95	32	0	1	0
140	94	67	2	0	1	0
117	77	61	61	0	1	0
161	114	87	28	0	1	0
129	76	58	206	0	1	0
93	57	47	255	0	1	0
133	92	73	195	0	1	0
113	74	62	29	0	1	0
114	68	50	6	0	1	0
121	75	55	30	0	1	0
148	103	81	131	0	1	0
73	41	25	231	0	1	0
124	89	65	224	0	1	0
114	67	51	185	0	1	0
118	75	55	120	0	1	0
154	112	86	28	0	1	0
156	118	97	193	0	1	0
160	112	86	185	0	1	0
170	122	98	0	0	1	0
92	67	52	60	0	1	0
167	120	92	124	0	1	0
70	37	24	124	0	1	0
108	75	65	255	0	1	0
161	148	125	155	0	1	0
151	104	90	32	0	1	0
110	60	47	28	0	1	0
123	88	72	241	0	1	0
101	59	41	249	0	1	0
155	110	86	110	0	1	0
127	89	77	205	0	1	0
160	106	85	126	0	1	0
148	117	94	67	0	1	0
122	80	60	236	0	1	0
148	116	91	8	0	1	0
139	87	66	124	0	1	0
76	48	35	189	0	1	0
75	51	41	52	0	1	0
144	96	79	2	0	1	0
107	75	64	225	0	1	0
135	88	69	4	0	1	0
140	82	59	60	0	1	0
114	72	51	223	0	1	0
39	25	11	158	0	1	0
126	83	66	66	0	1	0
141	89	67	199	0	1	0
158	135	124	195	0	1	0
143	98	79	60	0	1	0
90	47	32	199	0	1	0
166	135	119	40	0	1	0
49	27	17	124	0	1	0
49	24	12	195	0	1	0
146	98	75	14	0	1	0
125	77	60	229	0	1	0
152	95	75	223	0	1	0
120	70	50	215	0	1	0
137	105	86	233	0	1	0
125	84	65	195	0	1	0
162	138	118	0	0	1	0
166	118	88	196	0	1	0
53	30	18	158	0	1	0
146	116	91	74	0	1	0
127	83	58	62	0	1	0
100	81	66	195	0	1	0
62	32	19	107	0	1	0
51	31	24	112	0	1	0
129	82	66	0	0	1	0
129	94	73	56	0	1	0
165	117	92	255	0	1	0
169	157	151	129	0	1	0
149	101	81	120	0	1	0
157	109	88	2	0	1	0
148	94	67	199	0	1	0
136	99	81	240	0	1	0
157	107	89	243	0	1	0
129	78	62	159	0	1	0
121	76	56	135	0	1	0
169	120	93	16	0	1	0
136	92	68	255	0	1	0
153	110	90	159	0	1	0
160	108	79	135	0	1	0
138	94	71	225	0	1	0
157	116	92	46	0	1	0
117	62	40	7	0	1	0
83	49	40	252	0	1	0
148	127	105	193	0	1	0
122	68	50	227	0	1	0
101	85	77	241	0	1	0
89	46	32	60	0	1	0
85	50	36	60	0	1	0
143	97	73	195	0	1	0
180	172	167	32	0	1	0
155	119	101	55	0	1	0
117	75	59	96	0	1	0
110	77	55	0	0	0	1
103	71	45	143	0	0	1
98	68	39	7	0	0	1
98	71	51	23	0	0	1
91	65	39	36	0	0	1
100	74	53	0	0	0	1
96	72	47	247	0	0	1
107	81	61	0	0	0	1
95	63	34	119	0	0	1
103	76	56	154	0	0	1
107	78	53	0	0	0	1
86	53	24	28	0	0	1
81	49	19	28	0	0	1
96	66	35	30	0	0	1
91	56	22	225	0	0	1
93	57	27	221	0	0	1
82	48	20	223	0	0	1
56	36	21	247	0	0	1
109	84	63	8	0	0	1
113	74	35	2	0	0	1
94	63	30	135	0	0	1
111	84	60	8	0	0	1
110	79	48	128	0	0	1
89	54	30	227	0	0	1
86	53	25	223	0	0	1
88	58	28	124	0	0	1
98	63	30	220	0	0	1
102	73	48	207	0	0	1
87	54	25	193	0	0	1
83	48	27	255	0	0	1
95	67	39	15	0	0	1
94	68	39	112	0	0	1
100	79	57	112	0	0	1
74	45	25	0	0	0	1
104	76	46	15	0	0	1
85	64	43	255	0	0	1
94	63	33	159	0	0	1
101	70	48	48	0	0	1
95	61	32	1	0	0	1
98	72	48	55	0	0	1
119	89	67	241	0	0	1
86	53	25	140	0	0	1
108	75	47	112	0	0	1
89	68	43	127	0	0	1
78	46	20	30	0	0	1
101	74	48	247	0	0	1
89	56	25	0	0	0	1
96	67	34	8	0	0	1
105	77	48	0	0	0	1
99	71	40	32	0	0	1
97	73	50	189	0	0	1
97	67	41	231	0	0	1
96	58	27	31	0	0	1
101	73	43	0	0	0	1
106	78	51	135	0	0	1
102	71	44	112	0	0	1
119	89	67	241	0	0	1
87	52	22	180	0	0	1
93	66	36	227	0	0	1
102	78	55	7	0	0	1
89	62	35	29	0	0	1
102	73	50	113	0	0	1
77	45	20	30	0	0	1
93	77	60	63	0	0	1
106	79	53	103	0	0	1
88	55	21	124	0	0	1
81	52	27	197	0	0	1
82	51	22	52	0	0	1
103	74	50	247	0	0	1
92	70	47	159	0	0	1
102	73	49	0	0	0	1
96	65	40	255	0	0	1
87	53	26	247	0	0	1
88	50	18	253	0	0	1
96	68	40	72	0	0	1
83	49	25	205	0	0	1
112	88	61	247	0	0	1
101	73	47	133	0	0	1
84	51	26	126	0	0	1
96	73	47	254	0	0	1
90	63	37	62	0	0	1
99	73	38	243	0	0	1
81	50	28	14	0	0	1
93	70	46	241	0	0	1
106	77	50	120	0	0	1
90	56	27	231	0	0	1
103	74	45	119	0	0	1
100	69	39	32	0	0	1
101	75	51	249	0	0	1
95	55	29	1	0	0	1
90	57	31	160	0	0	1
96	74	50	248	0	0	1
118	94	68	159	0	0	1
101	75	46	0	0	0	1
97	74	51	120	0	0	1
106	84	63	112	0	0	1
96	61	28	221	0	0	1
105	79	48	143	0	0	1
97	63	30	225	0	0	1
113	86	60	124	0	0	1
89	54	20	252	0	0	1
100	65	29	238	0	0	1
92	66	45	32	0	0	1
93	70	47	3	0	0	1
102	75	51	118	0	0	1
80	44	15	0	0	0	1
94	75	50	24	0	0	1
80	47	17	8	0	0	1
100	69	44	255	0	0	1
98	61	33	28	0	0	1
86	62	36	12	0	0	1
80	51	25	223	0	0	1
105	74	45	120	0	0	1
87	63	32	8	0	0	1
80	51	26	0	0	0	1
97	71	47	246	0	0	1
105	74	46	30	0	0	1
109	71	41	28	0	0	1
101	66	41	193	0	0	1
85	64	46	124	0	0	1
94	62	32	95	0	0	1
113	84	54	120	0	0	1
81	48	26	62	0	0	1
90	61	34	58	0	0	1
110	83	55	135	0	0	1
88	50	23	227	0	0	1
73	44	21	135	0	0	1
72	43	18	30	0	0	1
99	67	39	120	0	0	1
86	52	25	60	0	0	1
93	61	32	120	0	0	1
104	71	42	224	0	0	1
98	71	45	227	0	0	1
103	84	66	22	0	0	1
87	65	45	30	0	0	1
100	67	44	30	0	0	1
106	78	51	159	0	0	1
89	57	29	129	0	0	1
81	47	23	6	0	0	1
105	71	39	193	0	0	1
118	99	77	143	0	0	1
87	57	25	223	0	0	1
90	53	23	64	0	0	1
96	63	36	60	0	0	1
105	67	32	249	0	0	1
109	81	55	119	0	0	1
113	87	55	248	0	0	1
107	82	55	255	0	0	1
92	70	46	8	0	0	1
86	59	38	32	0	0	1
96	66	37	129	0	0	1
106	77	51	247	0	0	1
104	76	47	32	0	0	1
92	56	29	253	0	0	1
108	79	49	128	0	0	1
94	60	31	0	0	0	1
101	74	47	240	0	0	1
110	76	42	120	0	0	1
101	69	41	128	0	0	1
102	70	41	7	0	0	1
105	79	56	7	0	0	1
98	73	53	0	0	0	1
81	48	22	193	0	0	1
96	66	37	253	0	0	1
105	74	46	12	0	0	1
111	86	65	14	0	0	1
86	59	37	2	0	0	1
86	57	29	120	0	0	1
103	67	34	32	0	0	1
83	55	25	96	0	0	1
90	60	30	62	0	0	1
117	86	60	0	0	0	1
88	56	25	255	0	0	1
107	75	49	120	0	0	1
104	73	49	120	0	0	1
98	65	36	30	0	0	1
87	52	22	126	0	0	1
85	52	26	217	0	0	1
83	49	26	60	0	0	1
93	65	40	30	0	0	1
103	77	50	3	0	0	1
92	57	24	253	0	0	1
94	63	40	8	0	0	1
92	68	41	243	0	0	1
91	65	36	12	0	0	1
99	75	42	209	0	0	1
109	76	43	128	0	0	1
92	58	25	255	0	0	1
105	84	65	120	0	0	1
98	69	44	7	0	0	1
78	47	20	254	0	0	1
106	79	52	248	0	0	1
99	75	53	240	0	0	1
103	73	45	159	0	0	1
100	75	52	137	0	0	1
90	59	31	30	0	0	1
90	56	25	62	0	0	1
92	59	31	128	0	0	1
91	56	28	225	0	0	1
98	67	40	55	0	0	1
101	64	34	195	0	0	1
106	79	56	24	0	0	1
100	70	46	143	0	0	1
85	52	21	30	0	0	1
84	49	26	0	0	0	1
77	44	16	48	0	0	1
72	40	21	143	0	0	1
104	70	43	112	0	0	1
101	75	45	248	0	0	1
102	76	51	194	0	0	1
106	80	50	135	0	0	1
99	67	36	28	0	0	1
108	74	49	112	0	0	1
84	63	40	193	0	0	1
96	61	33	2	0	0	1
86	59	39	62	0	0	1
