Europe	Asia	Africa	NorthAmerica	Africaner	Portugal	SOTO	Spain	Suisse	Thailand	USAB	USAW	ZULU	male	female	PUSA	PUSB	PUSC	SSPIA	SSPIB	SSPIC	SSPID	!Age
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	2	1	1	19
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	19
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	20
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	2	1	1	20
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	1	1	1	20
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	1	1	1	21
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	1	1	1	21
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	21
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	21
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	3	1	1	22
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	1	1	2	1	24
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	1	25
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	2	1	1	25
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	1	25
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	26
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	26
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	2	2	1	26
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	1	1	2	1	1	26
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	1	2	1	2	27
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	1	1	1	1	1	28
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	1	1	1	1	28
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	2	1	1	1	29
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	2	1	1	1	29
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	1	2	1	1	1	30
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	1	1	30
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	2	1	30
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	2	2	2	30
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	2	1	1	30
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	2	2	2	2	30
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	1	2	2	30
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	4	2	1	32
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	2	1	32
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	1	2	1	1	32
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	33
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	2	2	2	1	34
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	2	2	2	1	34
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	2	1	2	1	34
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	1	1	1	35
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	2	1	37
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	2	2	1	1	37
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	2	2	2	1	2	38
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	1	2	2	1	2	38
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	1	2	2	1	1	38
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	1	2	2	2	1	38
