% 1. Title: Image Segmentation data
%
% 2. Source Information
%    -- Creators: Vision Group, University of Massachusetts
%    -- Donor: Vision Group (Carla Brodley, brodley@cs.umass.edu)
%    -- Date: November, 1990
%
% 3. Past Usage: None yet published
%
% 4. Relevant Information:
%
%    The instances were drawn randomly from a database of 7 outdoor
%    images.  The images were handsegmented to create a classification
%    for every pixel.
%
%    Each instance is a 3x3 region.
%
% 5. Number of Instances: Training data: 210  Test data: 2100
%
% 6. Number of Attributes: 19 continuous attributes
%
% 7. Attribute Information:
%
%     1.  region-centroid-col:  the column of the center pixel of the region.
%     2.  region-centroid-row:  the row of the center pixel of the region.
%     3.  region-pixel-count:  the number of pixels in a region = 9.
%     4.  short-line-density-5:  the results of a line extractoin algorithm that
%          counts how many lines of length 5 (any orientation) with
%          low contrast, less than or equal to 5, go through the region.
%     5.  short-line-density-2:  same as short-line-density-5 but counts lines
%          of high contrast, greater than 5.
%     6.  vedge-mean:  measure the contrast of horizontally
%          adjacent pixels in the region.  There are 6, the mean and
%          standard deviation are given.  This attribute is used as
%         a vertical edge detector.
%     7.  vegde-sd:  (see 6)
%     8.  hedge-mean:  measures the contrast of vertically adjacent
%           pixels. Used for horizontal line detection.
%     9.  hedge-sd: (see 8).
%     10. intensity-mean:  the average over the region of (R + G + B)/3
%     11. rawred-mean: the average over the region of the R value.
%     12. rawblue-mean: the average over the region of the B value.
%     13. rawgreen-mean: the average over the region of the G value.
%     14. exred-mean: measure the excess red:  (2R - (G + B))
%     15. exblue-mean: measure the excess blue:  (2B - (G + R))
%     16. exgreen-mean: measure the excess green:  (2G - (R + B))
%     17. value-mean:  3-d nonlinear transformation
%          of RGB. (Algorithm can be found in Foley and VanDam, Fundamentals
%          of Interactive Computer Graphics)
%     18. saturatoin-mean:  (see 17)
%     19. hue-mean:  (see 17)
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution:
%
%    Classes:  brickface, sky, foliage, cement, window, path, grass.
%
%    30 instances per class for training data.
%    300 instances per class for test data.
%
%
%
%
%
% Relabeled values in attribute class
%    From: 1                       To: brickface
%    From: 2                       To: sky
%    From: 3                       To: foliage
%    From: 4                       To: cement
%    From: 5                       To: window
%    From: 6                       To: path
%    From: 7                       To: grass
%
@relation segment
@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute region-pixel-count real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class { brickface, sky, foliage, cement, window, path, grass}
@data
149,185,9,0,0,1.55556,1.06805,3.05556,1.92546,49.3333,45.3333,59.5556,43.1111,-12,30.6667,-18.6667,59.5556,0.275889,-1.95277,path
184,145,9,0,0,0.722222,0.611616,0.222222,0.272166,0.555556,0.333333,1.22222,0.111111,-0.666667,2,-1.33333,1.22222,0.527778,-1.92094,window
178,128,9,0,0,0.444444,0.340741,0.888889,0.207407,5.92593,7.88889,6.44444,3.44444,5.88889,1.55556,-7.44444,7.88889,0.563713,-0.7213,brickface
14,120,9,0,0,0.333333,0.133333,0.444444,0.296296,1.59259,0,3.88889,0.888889,-4.77778,6.88889,-2.11111,3.88889,1,-2.31572,foliage
214,246,9,0,0,2.83333,1.91775,3,1.98886,17.5185,14.2222,15.4444,22.8889,-9.88889,-6.22222,16.1111,22.8889,0.391548,2.23285,grass
107,146,9,0,0,1.88889,1.00741,2.11111,1.31852,21.3704,16.7778,29.6667,17.6667,-13.7778,24.8889,-11.1111,29.6667,0.432786,-2.16497,cement
155,40,9,0,0,1.88889,2.07275,0.0555555,0.136083,1.25926,1.22222,1.55556,1,-0.111111,0.888889,-0.777778,1.55556,0.116667,-1.5708,window
192,157,9,0,0,1.05556,0.507408,0.777778,0.162963,18.3333,13.8889,17.2222,23.8889,-13.3333,-3.33333,16.6667,23.8889,0.418184,2.43862,grass
118,85,9,0,0,3.27778,4.41852,2.27778,6.81852,8.18519,3.55556,14.8889,6.11111,-13.8889,20.1111,-6.22222,14.8889,0.774121,-2.32909,foliage
209,11,9,0,0,0.833333,0.255559,2.16667,3.85555,141.556,135.111,150.111,139.444,-19.3333,25.6667,-6.33333,150.111,0.0998358,-2.40159,sky
50,199,9,0,0,3.22222,2.97894,5.61111,4.61599,55.6667,49.1111,69.7778,48.1111,-19.6667,42.3333,-22.6667,69.7778,0.312414,-2.04543,path
108,146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foliage
57,42,9,0,0,2.33333,0.869226,0.999999,0.699206,37.4444,32.7778,47.7778,31.7778,-14,31,-17,47.7778,0.334662,-2.02955,cement
211,130,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
86,88,9,0.111111,0,2.05556,1.88518,1.72222,3.39629,21.1481,21.4444,26.3333,15.6667,0.888889,15.5556,-16.4444,26.3333,0.405118,-1.51256,brickface
245,238,9,0.111111,0,1.66667,2.53859,2.33333,2.4404,8.92593,6.33333,6.55556,13.8889,-7.77778,-7.11111,14.8889,13.8889,0.597015,2.12606,grass
82,138,9,0,0,0.888889,0.518518,0.888889,0.385185,1.40741,0,3.77778,0.444444,-4.22222,7.11111,-2.88889,3.77778,1,-2.17396,foliage
