TEMP	HUMID	SOLAR	WIND	!WBHW 
81.9	0.0184	0	7.62	0.4
80.7	0.0187	0	7.94	0.5
79.7	0.0194	0	7.72	0.5
79	0.0197	0.1	6.08	0.6
78.9	0.0199	0.1	5.68	0.6
78.5	0.0202	0.5	3.87	0.6
78.7	0.0207	47.5	5.34	0.6
80.2	0.0209	221	6.19	0.6
83.4	0.0201	436.7	7.43	0.6
86.5	0.0178	576.8	9.93	0.5
88.9	0.0156	723.7	8.37	0.5
92	0.0133	1025	7.45	0.6
93.3	0.0122	677.8	6.8	0.5
94.5	0.0114	721.3	5.2	0.4
96.3	0.0103	768.6	5.77	0.4
97	0.01	587	5.08	0.5
97	0.0098	353.3	5.65	0.4
96.6	0.0098	230.3	6.26	0.5
95.2	0.0104	44.5	6.03	0.4
92.8	0.0113	-0.6	4.31	0.5
90.4	0.0135	-0.5	5.56	0.4
87.8	0.0158	-0.4	4.72	0.5
85.9	0.0173	-0.4	4.35	0.5
84.2	0.0186	-0.1	4.56	0.5
83	0.0192	-0.1	4.08	0.6
81.7	0.0199	0	3.02	0.5
80.7	0.0206	0	5.9	0.6
80.2	0.0212	0.1	6.71	0.6
79.6	0.0216	0.1	7.38	0.7
79	0.0216	0.4	5.32	0.7
79	0.0216	53.6	3.2	0.8
80.2	0.0222	228.8	5.32	0.8
83.5	0.0209	393.3	7.26	0.8
87.1	0.0179	626.6	6.96	0.8
89.9	0.0152	740.8	7.01	0.8
92.5	0.0134	739.3	3.68	0.8
94.6	0.0116	915	3.26	0.7
95.6	0.0106	589.5	2.85	0.8
98.3	0.0097	883.8	2.21	0.7
98.6	0.0095	696.8	5.49	0.8
98.5	0.0097	457.7	6.36	0.7
97.7	0.0092	208.8	7.21	0.7
96.1	0.01	24.8	4.8	0.7
94.4	0.0105	-0.6	4.24	0.8
91.4	0.0127	-0.5	6.63	0.7
88.7	0.0159	-0.4	4.27	0.8
86.8	0.0178	-0.2	4.77	0.7
85.3	0.0181	-0.2	4.52	0.7
84.1	0.0185	-0.1	6.96	0.7
83.2	0.0187	-0.1	4	0.8
82.6	0.0188	0	2.06	0.7
81.7	0.0194	0	9.63	0.8
80.8	0.02	0	10.35	0.7
80.1	0.0205	0.4	5.05	0.8
79.7	0.0207	44.3	3.46	0.8
81.1	0.0207	218.3	5.34	0.9
84.2	0.0184	435.7	7.72	0.9
88.4	0.0146	639.3	2.66	0.9
92.4	0.0123	806.7	2.5	0.9
94.1	0.0107	910.1	2.91	0.8
96.6	0.0092	958.9	3.24	0.8
98	0.0081	966.7	5.12	0.8
98.8	0.0078	799.8	5.75	0.8
99.5	0.0061	613.4	4.83	0.8
99.2	0.0075	327.9	7.4	0.8
97.5	0.0093	178.5	9.74	0.7
95.3	0.0106	33.6	7.84	0.8
92.5	0.0116	-0.5	4.25	0.8
90.6	0.0125	-0.4	5.37	0.9
88	0.0141	-0.2	5.08	0.7
86.5	0.0148	-0.2	5.2	0.9
85.9	0.0154	-0.1	3.99	0.8
84.7	0.0158	0	2.48	0.7
83.5	0.0158	0	2.29	0.8
82.8	0.0162	0	0.44	0.9
