x	y	!z
15.0  3.1866792941150663  1.2
19.0  3.9873899664005545  5.5
13.0  2.850106377303515  0.5
16.0  3.3699942582735445  2.3
4.0  1.7332682554267465  2.3
20.0  4.217924753214829  5.6
1.0  1.4718752005271438  5.5
7.0  2.0436870132714318  0.5
0.0  1.394263293188879  5.6
12.0  2.695743094546708  0.3
14.0  3.013572831890837  0.7
3.0  1.6410998086439716  4.0
9.0  2.282342455174969  0.1
2.0  1.5540640675929842  5.0
18.0  3.769693273998861  5.0
11.0  2.549976043296881  0.1
8.0  2.159596990002522  0.3
10.0  2.4123265138842087  0.0
15.0  3.1866792941150663  1.2
19.0  3.9873899664005545  5.5
13.0  2.850106377303515  0.5
16.0  3.3699942582735445  2.3
4.0  1.7332682554267465  2.3
20.0  4.217924753214829  5.6
1.0  1.4718752005271438  5.5
7.0  2.0436870132714318  0.5
0.0  1.394263293188879  5.6
12.0  2.695743094546708  0.3
14.0  3.013572831890837  0.7
3.0  1.6410998086439716  4.0
9.0  2.282342455174969  0.1
2.0  1.5540640675929842  5.0
18.0  3.769693273998861  5.0
11.0  2.549976043296881  0.1
8.0  2.159596990002522  0.3
10.0  2.4123265138842087  0.0
