count	valid	test	!real
3	0.8	0.84496124	0.871587302
3	0.785185185	0.84496124	0.885
1	0.8	0.837209302	0.839524872
2	0.8	0.837209302	0.875398597
3	0.762962963	0.852713178	0.885921556
3	0.777777778	0.84496124	0.880819515
2	0.766666667	0.848837209	0.87635523
2	0.788888889	0.837209302	0.865672832
2	0.788888889	0.837209302	0.873963648
3	0.77037037	0.84496124	0.881776148
3	0.785185185	0.837209302	0.885682398
3	0.8	0.829457364	0.8828125
3	0.748148148	0.852713178	0.868861607
3	0.762962963	0.84496124	0.877471301
1	0.777777778	0.837209302	0.861686862
3	0.777777778	0.837209302	0.871014031
2	0.777777778	0.837209302	0.869897959
3	0.792592593	0.829457364	0.840800383
3	0.807407407	0.821705426	0.86981824
3	0.755555556	0.84496124	0.877152423
3	0.77037037	0.837209302	0.870057398
3	0.785185185	0.829457364	0.872927296
2	0.766666667	0.837209302	0.88408801
2	0.788888889	0.825581395	0.885841837
3	0.762962963	0.837209302	0.880660077
3	0.777777778	0.829457364	0.880341199
2	0.733333333	0.848837209	0.882892219
1	0.755555556	0.837209302	0.855628189
3	0.755555556	0.837209302	0.882095026
2	0.755555556	0.837209302	0.874840561
3	0.77037037	0.829457364	0.874123087
2	0.777777778	0.825581395	0.865672832
3	0.785185185	0.821705426	0.867984694
2	0.8	0.813953488	0.860570791
1	0.8	0.813953488	0.858657526
3	0.762962963	0.829457364	0.849250638
3	0.777777778	0.821705426	0.876833546
3	0.792592593	0.813953488	0.86973852
2	0.766666667	0.825581395	0.877072704
2	0.788888889	0.813953488	0.883848852
3	0.77037037	0.821705426	0.87372449
3	0.8	0.80620155	0.878268495
3	0.814814815	0.798449612	0.869260204
1	0.733333333	0.837209302	0.876913265
2	0.755555556	0.825581395	0.865513393
3	0.762962963	0.821705426	0.85419324
4	0.766666667	0.819767442	0.885124362
2	0.777777778	0.813953488	0.87890625
1	0.777777778	0.813953488	0.853555485
3	0.777777778	0.813953488	0.873804209
3	0.792592593	0.80620155	0.868781888
3	0.792592593	0.80620155	0.86591199
3	0.807407407	0.798449612	0.837771046
3	0.755555556	0.821705426	0.873166454
3	0.77037037	0.813953488	0.882732781
3	0.785185185	0.80620155	0.881297832
2	0.744444444	0.825581395	0.879703444
2	0.788888889	0.802325581	0.874202806
3	0.748148148	0.821705426	0.850605867
3	0.762962963	0.813953488	0.873325893
3	0.777777778	0.80620155	0.875558036
1	0.711111111	0.837209302	0.819355867
2	0.733333333	0.825581395	0.86065051
3	0.740740741	0.821705426	0.874601403
1	0.755555556	0.813953488	0.887595663
3	0.755555556	0.813953488	0.85801977
2	0.755555556	0.813953488	0.874521684
