x1	x2	irelevant1	!spiral1	!spiral2
-0.10974	0.55169	0.726182614	1	0
0.10974	-0.55169	0.310871808	0	1
-0.23918	0.57742	0.854987284	1	0
0.23918	-0.57742	0.777527861	0	1
-0.38195	0.57164	0.5186986	1	0
0.38195	-0.57164	0.616493307	0	1
-0.53033	0.53033	0.1553567	1	0
0.53033	-0.53033	0.215022748	0	1
-0.67557	0.4514	0.34884802	1	0
0.67557	-0.4514	0.222306271	0	1
-0.80839	0.33485	0.227681018	1	0
0.80839	-0.33485	0.745429934	0	1
-0.91949	0.1829	0.893297049	1	0
0.91949	-0.1829	0.101001193	0	1
-1	0	0.288803973	1	0
1	0	0.636301921	0	1
-1.04208	-0.20728	0.452622575	1	0
1.04208	0.20728	0.187607671	0	1
-1.03936	-0.43052	0.414010304	1	0
1.03936	0.43052	0.484648723	0	1
-0.98737	-0.65974	0.650057915	1	0
0.98737	0.65974	0.724437769	0	1
-0.88388	-0.88388	0.498459824	1	0
0.88388	0.88388	0.625827483	0	1
-0.72919	-1.0913	0.809675426	1	0
0.72919	1.0913	0.30479126	0	1
-0.52619	-1.27033	0.419191292	1	0
0.52619	1.27033	0.061765793	0	1
-0.28044	-1.40988	0.359250828	1	0
0.28044	1.40988	0.694310837	0	1
0	-1.5	0.634055318	1	0
0	1.5	0.80430147	0	1
0.30483	-1.53248	0.51809418	1	0
-0.30483	1.53248	0.087976478	0	1
0.62186	-1.5013	0.759598513	1	0
-0.62186	1.5013	0.124147543	0	1
0.93752	-1.4031	0.47642087	1	0
-0.93752	1.4031	0.321080532	0	1
1.23744	-1.23744	0.506835925	1	0
-1.23744	1.23744	0.571968305	0	1
1.50704	-1.00697	0.250374985	1	0
-1.50704	1.00697	0.694125701	0	1
1.73227	-0.71753	0.722012616	1	0
-1.73227	0.71753	0.795278443	0	1
1.90027	-0.37799	0.405606814	1	0
-1.90027	0.37799	0.49444039	0	1
2	0	0.17886902	1	0
-2	0	0.113353779	0	1
2.02287	0.40237	0.88234519	1	0
-2.02287	-0.40237	0.001406873	0	1
1.96324	0.8132	0.199589366	1	0
-1.96324	-0.8132	0.532069461	0	1
1.81884	1.21531	0.226194355	1	0
-1.81884	-1.21531	0.747550149	0	1
1.59099	1.59099	0.14352587	1	0
-1.59099	-1.59099	0.381556873	0	1
1.28476	1.92277	0.63142409	1	0
-1.28476	-1.92277	0.074335627	0	1
0.90887	2.19421	0.295956055	1	0
-0.90887	-2.19421	0.041797859	0	1
0.47553	2.39066	0.33731108	1	0
-0.47553	-2.39066	0.569376633	0	1
0	2.5	0.713544115	1	0
0	-2.5	0.28475146	0	1
-0.49992	2.51326	0.083128414	1	0
0.49992	-2.51326	0.800853614	0	1
-1.00454	2.42518	0.138841633	1	0
1.00454	-2.42518	0.606334357	0	1
-1.4931	2.23457	0.523669074	1	0
1.4931	-2.23457	0.875298452	0	1
-1.94454	1.94454	0.183077017	1	0
1.94454	-1.94454	0.547553365	0	1
-2.33851	1.56254	0.734728688	1	0
2.33851	-1.56254	0.736499118	0	1
-2.65615	1.10021	0.594646705	1	0
2.65615	-1.10021	0.411314465	0	1
-2.88106	0.57308	0.196761503	1	0
2.88106	-0.57308	0.796131457	0	1
-3	0	0.580135855	1	0
3	0	0.969909721	0	1
-3.00365	-0.59746	0.934962713	1	0
3.00365	0.59746	0.44082609	0	1
-2.88712	-1.19589	0.825359775	1	0
2.88712	1.19589	0.727909734	0	1
-2.65031	-1.77088	0.815319578	1	0
2.65031	1.77088	0.195730622	0	1
-2.2981	-2.2981	0.075831579	1	0
2.2981	2.2981	0.056166231	0	1
-1.84033	-2.75424	0.34871239	1	0
1.84033	2.75424	0.841228083	0	1
-1.29156	-3.11809	0.879225937	1	0
1.29156	3.11809	0.044855297	0	1
-0.67062	-3.37145	0.738935887	1	0
0.67062	3.37145	0.577324992	0	1
0	-3.5	0.36682207	1	0
0	3.5	0.23696918	0	1
0.69501	-3.49405	0.325550263	1	0
-0.69501	3.49405	0.409323165	0	1
1.38723	-3.34906	0.756574284	1	0
-1.38723	3.34906	0.498390213	0	1
2.04866	-3.06604	0.018760569	1	0
-2.04866	3.06604	0.288741639	0	1
2.65165	-2.65165	0.597371197	1	0
-2.65165	2.65165	0.156658003	0	1
3.16998	-2.11811	0.801061824	1	0
-3.16998	2.11811	0.185056122	0	1
