x1	x2	irelevant1	irelevant2	irelevant3	irelevant4	irelevant5	!spiral2
-0.10974	0.55169	0.726182614	0.891443531	0.662373271	0.86876626	0.587803131	0
0.10974	-0.55169	0.310871808	0.697525278	0.623148189	0.131430207	0.850409837	1
-0.23918	0.57742	0.854987284	0.438162545	0.43428121	0.62926983	0.115962365	0
0.23918	-0.57742	0.777527861	0.250249852	0.904767928	0.315801147	0.722813428	1
-0.38195	0.57164	0.5186986	0.582340189	0.653148142	0.380236105	0.868824512	0
0.38195	-0.57164	0.616493307	0.515342159	0.367409404	0.036816831	0.942531234	1
-0.53033	0.53033	0.1553567	0.981281137	0.386654491	0.46925905	0.149678458	0
0.53033	-0.53033	0.215022748	0.758088359	0.722237727	0.068308079	0.750753641	1
-0.67557	0.4514	0.34884802	0.009298443	0.604729074	0.924951617	0.680427312	0
0.67557	-0.4514	0.222306271	0.026569761	0.949226434	0.037633836	0.236244757	1
-0.80839	0.33485	0.227681018	0.448933625	0.646102632	0.841699984	0.167304619	0
0.80839	-0.33485	0.745429934	0.946603716	0.245988177	0.7077248	0.224816451	1
-0.91949	0.1829	0.893297049	0.811102878	0.170866069	0.797578915	0.614750193	0
0.91949	-0.1829	0.101001193	0.198367395	0.023583541	0.727417132	0.6080515	1
-1	0	0.288803973	0.68407949	0.902544743	0.108830469	0.581446136	0
1	0	0.636301921	0.935418422	0.305867215	0.416900251	0.622561635	1
-1.04208	-0.20728	0.452622575	0.413631296	0.892066904	0.007393222	0.455756909	0
1.04208	0.20728	0.187607671	0.325744652	0.820393637	0.576280046	0.435156134	1
-1.03936	-0.43052	0.414010304	0.334726742	0.380459998	0.264435026	0.326356801	0
1.03936	0.43052	0.484648723	0.116677936	0.043393932	0.487726829	0.995653766	1
-0.98737	-0.65974	0.650057915	0.444355128	0.355942399	0.061167037	0.966763464	0
0.98737	0.65974	0.724437769	0.362906518	0.651709373	0.015476608	0.043361543	1
-0.88388	-0.88388	0.498459824	0.076153006	0.243701965	0.482499694	0.684555944	0
0.88388	0.88388	0.625827483	0.061957892	0.929296547	0.17374778	0.591753134	1
-0.72919	-1.0913	0.809675426	0.8272913	0.623108729	0.349071442	0.417590559	0
0.72919	1.0913	0.30479126	0.65756123	0.12910953	0.551712766	0.255527497	1
-0.52619	-1.27033	0.419191292	0.728681213	0.618058282	0.944188126	0.116513408	0
0.52619	1.27033	0.061765793	0.082027018	0.072539745	0.268938767	0.65254769	1
-0.28044	-1.40988	0.359250828	0.738856127	0.472876801	0.785232113	0.526908537	0
0.28044	1.40988	0.694310837	0.988611859	0.113508452	0.536724446	0.428319026	1
0	-1.5	0.634055318	0.893354896	0.520648695	0.950737782	0.382739688	0
0	1.5	0.80430147	0.988812953	0.253733666	0.66367103	0.47145223	1
0.30483	-1.53248	0.51809418	0.43417268	0.125497607	0.636808847	0.418194021	0
-0.30483	1.53248	0.087976478	0.363316907	0.686237139	0.351430191	0.764384574	1
0.62186	-1.5013	0.759598513	0.572584424	0.478418727	0.877726833	0.686094955	0
-0.62186	1.5013	0.124147543	0.805206815	0.398042657	0.153276873	0.334540732	1
0.93752	-1.4031	0.47642087	0.063735877	0.231521084	0.538943198	0.391819256	0
-0.93752	1.4031	0.321080532	0.116919393	0.978096274	0.92900527	0.61776789	1
1.23744	-1.23744	0.506835925	0.868812382	0.6423998	0.355263486	0.781857135	0
-1.23744	1.23744	0.571968305	0.395881591	0.266188858	0.330303282	0.5395664	1
1.50704	-1.00697	0.250374985	0.991939956	0.083865645	0.53764596	0.801146254	0
-1.50704	1.00697	0.694125701	0.475907327	0.522183743	0.737513474	0.972271559	1
1.73227	-0.71753	0.722012616	0.261472769	0.760071409	0.169001526	0.004065969	0
-1.73227	0.71753	0.795278443	0.251088418	0.986872093	0.478452266	0.290463484	1
1.90027	-0.37799	0.405606814	0.801825121	0.204484426	0.628672525	0.08709959	0
-1.90027	0.37799	0.49444039	0.895483403	0.906649553	0.570271362	0.265654278	1
2	0	0.17886902	0.150995376	0.455074245	0.768487212	0.93888654	0
-2	0	0.113353779	0.945434176	0.679904437	0.004371797	0.898513335	1
2.02287	0.40237	0.88234519	0.124501746	0.685052876	0.66766083	0.073543515	0
-2.02287	-0.40237	0.001406873	0.162484948	0.895133848	0.750909242	0.256958179	1
1.96324	0.8132	0.199589366	0.328332623	0.881687827	0.942194011	0.039212096	0
-1.96324	-0.8132	0.532069461	0.114932123	0.826583529	0.092874336	0.386397103	1
1.81884	1.21531	0.226194355	0.667061881	0.919892492	0.715283045	0.954890134	0
-1.81884	-1.21531	0.747550149	0.466910202	0.855494187	0.650132081	0.68992614	1
1.59099	1.59099	0.14352587	0.779463858	0.970899991	0.172703632	0.81945275	0
-1.59099	-1.59099	0.381556873	0.148157566	0.232306543	0.951824867	0.287645596	1
1.28476	1.92277	0.63142409	0.329389339	0.659383146	0.850888833	0.017717446	0
-1.28476	-1.92277	0.074335627	0.388369797	0.291530856	0.73247239	0.092383577	1
0.90887	2.19421	0.295956055	0.766557597	0.165559625	0.420843041	0.395433245	0
-0.90887	-2.19421	0.041797859	0.171128091	0.396152162	0.224853286	0.161536717	1
0.47553	2.39066	0.33731108	0.09813131	0.633406801	0.239094415	0.029777079	0
-0.47553	-2.39066	0.569376633	0.018197699	0.507769592	0.703866669	0.169622896	1
0	2.5	0.713544115	0.440949244	0.754018185	0.604188965	0.041549201	0
0	-2.5	0.28475146	0.320568712	0.853134958	0.893211507	0.102279311	1
-0.49992	2.51326	0.083128414	0.485196296	0.346903544	0.765998672	0.402623736	0
0.49992	-2.51326	0.800853614	0.243619034	0.953963377	0.714675445	0.899243123	1
