x1 x2 !spiral1 !spiral2
0.10974 -0.55169 0.0 1.0
-0.23918 0.57742 1.0 0.0
0.80839 -0.33485 0.0 1.0
-0.91949 0.1829 1.0 0.0
0.98737 0.65974 0.0 1.0
-0.88388 -0.88388 1.0 0.0
0.0 1.5 0.0 1.0
0.30483 -1.53248 1.0 0.0
-1.50704 1.00697 0.0 1.0
1.73227 -0.71753 1.0 0.0
-1.96324 -0.8132 0.0 1.0
1.81884 1.21531 1.0 0.0
-0.47553 -2.39066 0.0 1.0
0.0 2.5 1.0 0.0
1.94454 -1.94454 0.0 1.0
-2.33851 1.56254 1.0 0.0
3.00365 0.59746 0.0 1.0
-2.88712 -1.19589 1.0 0.0
1.29156 3.11809 0.0 1.0
-0.67062 -3.37145 1.0 0.0
-2.04866 3.06604 0.0 1.0
2.65165 -2.65165 1.0 0.0
-4.0 0.0 0.0 1.0
3.98444 0.79256 1.0 0.0
-2.3959 -3.58571 0.0 1.0
1.67424 4.04197 1.0 0.0
1.76991 -4.27294 0.0 1.0
-2.60424 3.89751 1.0 0.0
4.84263 -0.96326 0.0 1.0
-5.0 0.0 1.0 0.0
3.71231 3.71231 0.0 1.0
-2.95147 -4.41718 1.0 0.0
-1.08519 5.45562 0.0 1.0
2.15259 -5.19682 1.0 0.0
-5.42779 2.24827 0.0 1.0
5.82341 -1.15835 1.0 0.0
-5.14472 -3.43759 0.0 1.0
4.41942 4.41942 1.0 0.0
